date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-05-16,18943,4320,7424445,1718.62152777778,2724895013.9509585549540295,0.198769619238128,0.017408649576724943655255358,0.172433,0.0151020346266659338303,1142.726541,100.0823264165918874486531,0,0,0,0,0,31.6238548,49.354025214178584,0.0000111398176746312,0.0875820441949391,-65.07008856702696,5.13196930011548,31112484745,5749,16561,983829610.263667,86165808.40640219357349800768,265984.912702638,23295.50237950945972790281935,73218.565206,6412.6316137619222685489546,4404976139.268393,385796814.9070566076457471899,0.0587532126963082,0.0669440748529994,0.0607770753794171
2019-05-17,12217,4318,5720284,1324.75312644743,2570530475.843677573280385,0.195943159314343,0.01618893079992771356051143864,0.172433,0.014246508601740187209,777.306513,64.221488483313348671049,0,0,0,0,0,38.48887123,48.81722944784189,0.0000112762986728623,0.082620545961273,-65.51456048729358,-0.28377280076084754,31112484745,3967,10435,808350147.683413,66786330.52947924103416246475,261318.218539653,21590.25388537338286115285827,72596.803177,5997.987513526818245364321,2726855610.461275,225294299.2938709151298162031,0.0575743285145872,0.0678043114509783,0.0612558952633387
2019-05-18,9343,4320,4879639,1129.54606481481,2459798187.4505881141674395,0.196859155646947,0.01556397048362501136469874377,0.172433,0.0136328031763786168243,622.271791,49.1977106987387030635661,0,0,0,0,0,56.87806363,48.50005614429796,0.0000108630923436587,0.0790614509773571,-67.46842754210857,-3.0418819615333894,31112484745,3161,8223,547003233.891959,43246869.36080491624781676156,212693.884699918,16815.88713838621029914622672,56069.827567,4432.9619234972362183831757,1748981813.887426,138277039.9389498299014544018,0.0563264313651315,0.0681363646883355,0.0615824910276275
2019-05-19,9921,4319,5118932,1185.21231766613,2713474881.1043752735150765,0.193430456246402,0.01687003428260486015402709188,0.172433,0.0150387414572751039701,671.977405,58.6064990977692363812785,0,0,0,0,0,61.59808963,48.31126482569232,0.000010610427474834,0.0872149847028997,-63.83820622136405,9.783430502961282,31112484745,3474,8970,505088468.367946,44051283.04232144939215273302,181100.641037574,15794.68963777734606393445333,49999.827743,4360.7342117533650326063771,1624472750.107035,141678366.0508624645208498694,0.0565268175531689,0.0700143451387779,0.0626628407167106
2019-05-20,9635,4320,4970556,1150.59166666667,2642382987.848461287737589,0.193973080697606,0.01647413161426399715424722035,0.172433,0.0146447327970774622626,656.210932,55.7319872510550091196904,0,0,0,0,0,50.8907064,48.239460836836685,0.0000106413364044449,0.0849299890222722,-66.64510841380941,11.46210413447284,31112484745,3383,8442,611358869.721783,51922702.09413977026860449533,222091.605694487,18862.23763357158693099175336,52623.87557,4469.345174469518211470154,1874897335.272856,159235010.1026110605092481034,0.0562723332748957,0.0699590011149112,0.0617857644688592
2019-05-21,9456,4319,4966294,1149.87126649687,2641007945.767300584187454,0.189909294045802,0.01612060105969597280266535826,0.172433,0.0146371119775535929036,621.952938,52.7949684705041793557496,0,0,0,0,0,32.91708541,47.6701155258021,0.0000106322431747872,0.0848857931924492,-65.56043143340908,14.778987336355367,31112484745,3275,8023,945177386.172402,80232132.13281021031175582698,458460.809505977,38916.80946256721190553866887,47433.655486,4026.4434699464794493563112,3678231074.666457,312229562.3181770406801009165,0.056228149055955,0.0692729456316231,0.0608050145626344
2019-05-22,10425,4320,5343590,1236.94212962963,2426768068.2860716537903645,0.195636291560102,0.01525959463691685399943932725,0.172433,0.0134497421774074442693,688.44411,53.698513527310492059831,0,0,0,0,0,51.05536253,47.49624337251817,0.000010172249760272,0.0779998154495221,-64.72181375974124,-0.24573919475853245,31112484745,3519,9240,609387206.41922,47532089.63799898918700125476,357972.451198651,27921.78512950783425453011469,55105.412236,4298.2119846778369696924156,3307665449.075534,257997294.5966522917920871023,0.0558931021352726,0.0704647043735025,0.0617372377835786
2019-05-23,9751,4320,4906030,1135.65509259259,2499881759.4022443365729805,0.192595804863582,0.01547503336560857177383981238,0.172433,0.0138549561358413194037,649.433054,52.1818125088322242246806,0,0,0,0,0,52.56165637,47.21683591520836,0.000010174116705556,0.0803497946207589,-59.74102560050832,8.182020883666963,31112484745,3372,8584,591923597.782439,47560939.51299967191103527296,363493.943172804,29206.66367982460812298832096,59137.252808,4751.6661175586975541159912,3120232008.19535,250710001.0276144734100364511,0.0558718886763376,0.0702911045889854,0.0614089115644151
2019-05-24,10303,4320,5186308,1200.53425925926,2505527639.211045346433713,0.190451935025935,0.01533733454784234138236728772,0.172433,0.0138862469826203584442,697.625438,56.1806564487465041340812,0,0,0,0,0,48.8607492,46.84458939257807,0.0000100826654993784,0.0805312613166874,-61.087696946772304,12.256001854362228,31112484745,3663,9143,636758241.567859,51278944.34725561429089619028,271005.565990742,21824.42005307721566479850805,56307.526932,4534.5161654573055565250568,2477803889.853353,199540672.5452848937556777429,0.0556943659943545,0.0696069197654215,0.0611249324875849
2019-05-25,8971,4320,4663136,1079.42962962963,2502105911.784247540148968,0.193595110417966,0.01556916698359049362796830786,0.172433,0.0138672829323292660112,620.665924,49.9147493493912033142336,0,0,0,0,0,64.09868909,46.678747335391016,0.00000997585643923213,0.0804212820766864,-59.05739440384087,17.505578711326635,31112484745,3206,7890,485384103.552384,39035211.90732583495494754038,297932.022368386,23960.07521056561263100299615,50327.565702,4047.4073575535097984498528,2350683656.486564,189044993.4113625598098392415,0.0556540415757428,0.0695133215139495,0.0601472744692954
2019-05-26,8608,4320,4840342,1120.44953703704,2686283824.0527412609097955,0.188237425276461,0.01625261224700983911808609756,0.172433,0.0148880419686610386747,595.771451,51.4395177617862215376009,0,0,0,0,0,69.38345868,46.68209448792904,0.00000988842446930919,0.0863410250280459,-55.686755275505995,28.006711700159354,31112484745,3165,7471,448413574.903091,38716487.69362331488864959988,208261.852963116,17981.54185907561373591825502,46984.701239,4056.7072656117582074788701,1555924303.487436,134340099.2291535962850782813,0.0549672230448266,0.0704868431623971,0.0606723948312209
