date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-06-15,6066,1457,8242855,5657.41592313,242872068.85790207,0.00585256012680036,0.01421423386111269103925971321,0.003,0.0072861620657370621,84.9265,206.26274755860620147855,0,0,0,0,0,121.57520771,170.6311501371405,0.0002744135827255792,2.4287206885790207,-26.195321445733054,-3.4907118593721362,100000000,17287,2038,822536.1229697,1997710.498960087828850801773,403.5996678,980.23086308948000856932346,1.61131441,3.913432643372498477598287,822536.12297025,1997710.498961423625229520234,0.05103324683650419,0.0625308922335582,0.057224401646799976
2019-06-16,7926,1467,9841360,6708.4935242,244100734.66436053,0.0048765385445908,0.01190366641353685741696972521,0.003,0.0073230220399308159,90.333,220.5035166443567975649,0,0,0,0,0,84.96765779,168.31616090084867,0.0002706361487898522,2.4410073466436053,-27.65338878982117,1.7759606877082583,100000000,18840,11895,1176918.40169091,2872866.464927561052420658638,98.94227841,241.518828492466974638751573,0.00171677,0.004190648182497342270881,1176918.40169896,2872866.46494721116156113966,0.050433300946228,0.06253279622383881,0.05720121916803086
2019-06-17,4826,1454,7696539,5293.35557084,244280367.96944683,0.00538158514431811,0.01314615599312936534080654251,0.003,0.0073284110390834049,79.9865,195.39131652588158867795,0,0,0,0,0,105.48543547,166.096585924636,0.00026152612819899676,2.4428036796944683,-27.731017334380525,2.164977348880543,100000000,15812,2060,947998.17200336,2315773.422913437287275721013,460.19328738,1124.161855782557920978200054,0.11981243,0.292678244877135904580969,947998.17200373,2315773.422914341124637207967,0.05012073313803668,0.06086678995969802,0.05719020289470849
2019-06-18,6561,1420,11684687,8228.6528169,237755972.98471953,0.00473329318236569,0.01125368725995294123292026545,0.003,0.0071326791895415859,98.2395,233.57027908032354267435,0,0,0,0,0,190.19059462,165.9133642386228,0.00026279704266510804,2.3775597298471953,-34.79996664491779,-7.777171951083471,100000000,21044,3514,525788.3556308,1250093.220770365895738342295,149.62673752,355.746505635968400861277656,0.006630065,0.0157633755502693449066945,525788.35563247,1250093.220774336420487187111,0.046467504894436226,0.06047433989098839,0.057285240334482256
2019-06-19,4035,1484,8892275,5992.0990566,243246827.65994576,0.0052043802481514,0.01265948985298909343803064268,0.003,0.0072974048297983728,83.0515,202.0201390739998528664,0,0,0,0,0,191.85897481,166.2930168663509,0.0002619767033534648,2.4324682765994576,-31.858075159872822,-1.1966523979088417,100000000,16225,775,521216.16983518,1267841.798374750493000269398,672.53699334,1635.924901139130693778812384,5.24133868,12.749390066013675985899968,521216.16983518,1267841.798374750493000269398,0.044413872889587855,0.06061323108702216,0.057325034176095704
2019-06-20,19030,1452,9992191,6881.67424242,237219017.08369773,0.00617601789120568,0.01465068893643143032349862379,0.003,0.0071165705125109319,93.894,222.7344239005671466062,0,0,0,0,0,120.57383551,164.16980102539782,0.0002484822248846058,2.3721901708369773,-35.667497556506,-4.48878877758133,100000000,16257,7089,829367.32976356,1967417.027678427084578914087,116.99355759,277.530967366247842249072707,0.00177599,0.004212986021504763315027,829367.32976618,1967417.027684642222826506968,0.04441011147253943,0.06006739753975259,0.057387033605196355
2019-06-21,7321,1455,8622161,5925.8838488,234348302.9225813,0.00304709328526363,0.007140811402483245971960506081,0.003,0.007030449087677439,47.3305,110.9182235147723421965,0,0,0,0,0,179.70548888,162.70536726096864,0.00023240801408609546,2.343483029225813,-33.3527208560123,-0.8183563457154428,100000000,15984,1026,556466.03019937,1304068.698112882345169140338,542.36455185,1271.02212291413852019690405,0.101891565,0.238781153398758824967345,556466.03019957,1304068.6981133510417749855,0.044415579677514444,0.03672403181260055,0.05739361904982291
2019-06-22,4813,1484,11553468,7785.35579515,240002831.3792463,0.00307125800223555,0.00737110616432699562535274066,0.003,0.007200084941377389,60.4485,145.0781115262836996555,0,0,0,0,0,95.48698132,159.78768238267295,0.00022461038852983423,2.400028313792463,-16.094348437964403,-20.680293547530766,100000000,21891,1121,1047263.18303028,2513461.29126509046013136478,934.22228638,2242.15993868793087267155394,6.75927498,16.22245133270898406847574,1047263.18303039,2513461.291265354463245881951,0.04361568741508117,0.030790929239772863,0.05618063852962314
2019-06-23,6661,1458,9772362,6702.58024691,234854566.15670186,0.00325114380031274,0.007635459667354994976073149397,0.003,0.0070456369847010558,56.1375,131.8414820762185066575,0,0,0,0,0,83.1250756,156.86461841254066,0.00021757018784380834,2.3485456615670186,-19.691288547148865,-12.789028719119713,100000000,17754,4407,1203006.42473737,2825315.519654200396797158905,272.97627065,641.09723614580177246718409,0.00118949,0.002793571578977352954514,1203006.42474454,2825315.519671039469190594428,0.04362678719330131,0.030671831926276948,0.0548598547046599
2019-06-24,3442,1458,8406946,5766.08093278,235364840.86143465,0.00407795347621537,0.009598068709697647910906705806,0.003,0.0070609452258430395,62.409,146.8888435332127507185,0,0,0,0,0,192.2180406,155.94701148216504,0.00021388623714347285,2.3536484086143465,-12.171728426976625,-14.124719849533756,100000000,15967,807,520242.53127763,1224468.005835093233754592519,644.66360753,1517.311473954568143203429145,1.37,3.224498319801654705,520243.53127765,1224470.359483548921069264806,0.04332294145539614,0.030687533532548,0.05484386695300076
