date,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-18,734,59385389,80906.5245231608,728964173.9832749911474508884,9560904201.77657,0.0258494473784922,1.286324016310824544108552461,0.01508312,0.7505684439908452308888,67.544606,3361.16465462017863196494,5319.73882928697,13.2548893351458,264721.6289160068819753918551,5319.73882928697,264721.6289160068819753918551,0.019855828676757305,49.76214761871849,2379.312488263842,55.916401071718745,14648969.324408105034,2613,8942,0.07076876305587142,0.11861887324851575,0.08999740254172965
2017-06-19,733,73184470,99842.3874488404,741191783.9642090841449248354,9589662338.84993,0.0279609649972309,1.414224792254938621447867584,0.01506284,0.761856458526343292658,87.322093686352,4416.624026212168221522691922,5304.62210777311,13.212439431689,268300.0425450026767034701858,5304.62210777311,268300.0425450026767034701858,0.01954999567604525,50.57854020399495,2599.6233598483414,44.02005392571031,14654273.94651587814,3123,10964,0.07067522443177285,0.11847004734127548,0.08998157270080351
2017-06-20,753,75504960,100272.19123506,755944322.6352297494258102065,10384884960.0199,0.0285591872210267,1.47268577846347926519614397,0.01503892,0.7754983864226995812104,92.90303603,4790.6468373417055216103086,5442.16844293948,13.5499996459412,280631.378193387700538752307,5442.16844293948,280631.378193387700538752307,0.018891868400058447,51.56609559879962,2836.1174172830124,49.651091919722745,14659716.11495881762,3253,11351,0.070521302901822,0.11839486051434103,0.08994595575477117
2017-06-21,727,56027336,77066.4869325997,710297349.1644926435536399603,10627234028.0316,0.0244659957918138,1.185010279704951906413788582,0.01501864,0.72742768937869463095936,66.22945060844,3207.822827161306912740723955,5246.92647728178,13.0592089376333,254134.8353585264120580517589,5246.92647728178,254134.8353585264120580517589,0.018387387035402773,48.434990743415824,2894.539491569354,35.57063429342467,14664963.041436099402,2707,8415,0.0707265364731219,0.08752571749204756,0.09050769539549468
2017-06-22,714,51905985,72697.4579831933,734511281.532732040025608796,11182355475.5294,0.0239337127394035,1.198326614138530083238925922,0.01499992,0.75102444579590146146688,60.98310006,3053.33621282496874400229984,5145.93272984377,12.8033503343472,257649.4592327097532020542721,5145.93272984377,257649.4592327097532020542721,0.01868962091554647,50.068563418731664,3211.2276037342644,-8.951654218111148,14670108.974165943173,2548,7827,0.07074880490326953,0.07886780782642362,0.08996653925012088
2017-06-23,716,79479594,111005.019553073,750516808.2109672945130503486,11171541348.5894,0.0303022391896272,1.549705969768369955307520372,0.01497548,0.7658704893363474706548,93.4824079,4780.842916735425812587329,5152.19272723571,12.8144250657936,263491.5451900829775135072098,5152.19272723571,263491.5451900829775135072098,0.019057578040960494,51.14163214376751,3166.311756162283,14.033958197972815,14675261.166893178887,3085,11970,0.07068065187748224,0.0757273352765644,0.08996937377047046
2017-06-24,701,46441693,66250.6319543509,700073752.3246292707890884746,10643667882.6961,0.022931008945796,1.093533350260197267955569296,0.01495624,0.7132327789481763465792,53.72735396,2562.1486396596408635566368,5038.68262972148,12.527803782619,240284.5644516373255639672059,5038.68262972148,240284.5644516373255639672059,0.01878789045308427,47.68797364499208,2922.077228751603,18.873691183708353,14680299.849522900372,2343,6919,0.06944142843463995,0.07668356164039225,0.09063022935868881
2017-06-25,719,58378256,81193.6801112657,662137865.8931241696322086012,10860420875.8734,0.023497604023113,1.059459661781962168044790936,0.01493596,0.6734323684416450856708,65.06486554,2933.6438034742578873786742,5160.99690214889,12.8274072498237,232698.9605846641394505475328,5160.99690214889,232698.9605846641394505475328,0.018094348097663124,45.08798687474023,2797.5298240146435,16.566616367634136,14685460.846425049262,2769,8589,0.06904253848149808,0.07184044657823377,0.09048576234491973
2017-06-26,716,101681583,142013.384078212,636641347.412036323688969423,10495513645.6383,0.0352258796783349,1.526572498377443627815007145,0.01491672,0.6464410463538257875008,111.70126446,4840.7613923548751349086544,5129.69285540463,12.7451506269699,222303.8320033836784925741447,5129.69285540463,222303.8320033836784925741447,0.017902202617566868,43.33667497639064,2821.8186276860074,29.81242459277987,14690590.539280453896,3171,15253,0.06883395602022424,0.06988948857638345,0.09053968302315572
2017-06-27,755,75706858,100273.98410596,638331761.9331217516828889976,11257779857.3033,0.0281961500906937,1.224721434746868763021530052,0.0148954,0.646993139150214029524,86.900534579518,3774.591461889850248666104957,5402.8976624336,13.4190155653642,234679.0095684082516783940932,5402.8976624336,234679.0095684082516783940932,0.017271836384357014,43.43576803242706,2840.2961741843706,16.81473692250476,14695993.436942887501,3082,11202,0.06881242706869016,0.06723592525802258,0.09053825222475381
