date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-05-24,9112,1618,2786194,1721.99876390606,,0.459526226734349,,0,,5431.6,,0,0,,0,,4.19828526,,,,,,100004813.7,11820,11143,23820395.1261727,,11111.9443710107,,1500,,123820396.12617273,,,,
2016-05-25,5107,6729,6046063,898.508396492792,26960743.421191141414591275,0.523932365055279,0.1412448114826113781217750207,0.1,0.026958596357701425,4833.8,1303.12463073857148165,0,0,0,0,0,2.66789536,,0.0005983492320280536,0.26958596357701425,,,100007964.3,9226,8160,37485714.6952947,10105622.51650406481891554985,4593.83783030572,1238.434197999508000883842297,447.108439895,120.5341595925091349996835038,37485716.69529468,10105623.05567598658122477831,,,
2016-05-26,2793,8078,5980096,740.294132210943,49275262.819366846843581,0.490880634390651,0.2418598548760900252161799921,0.1,0.04927060428373182,2352.3,1158.99242456622360186,0,0,0,0,0,2.68808256,,0.001084219807130333,0.4927060428373182,,,100009455,4792,4249,37204755.7106413,18331007.96091919128780849416,8756.26359793541,4314.263987379214107296021217,330.1,162.64226474059873782,37205364.02762758,18331307.68237429202979623556,,,
2016-05-27,1795,8374,5902266,704.832338189635,37029948.689920581088019279,0.498425196850394,0.184547388250999104164694518,0.1,0.037026095273107223,1519.2,562.500439389044931816,0,0,0,0,0,6.41290197,,0.0007847502451782584,0.37026095273107223,,,100010407.3,3048,2670,15595187.2975719,5774288.906818487337352362518,5840.89486800445,2162.655298629358033583968911,299.89999999,111.0412597203459522496892777,15595189.29757187,5774289.647340381691668240586,,,
2016-05-28,1136,8219,5562564,676.793283854484,34633811.719666177222365,0.736303123399898,0.2549806153909151126272161567,0.1,0.034629842966513,1438,497.97714185845694,0,0,0,0,0,17.53470153,,0.0006522725879602572,0.34629842966513,,,100011460.5,1953,1667,5703630.61521248,1975158.325438041156290196822,3421.5259239427,1184.869054519890033810308051,500,173.149214832565,5703683.71521248,1975176.713884656374693196822,,,
2016-05-29,1023,6321,4353668,688.762537573169,37865921.8916252850403214,0.539069471000637,0.2040993514989244077106677387,0.1,0.0378614190709166,845.8,320.2318825018126028,0,0,0,0,0,36.18213814,,0.0007176843845704268,0.378614190709166,,,100011892.9,1569,1242,2764123.35039365,1046536.325329600275798763196,2225.5421500754,842.6218400399348343263711164,233.1,88.2549678543065946,2764123.35039365,1046536.325329600275798763196,,,
2016-05-30,1409,8553,5868074,686.083713316965,35079089.30731780699260114,0.558420628525383,0.1958637968993530581595772407,0.1,0.03507459912728673,1386,486.1339439041940778,0,0,0,0,0,24.13721255,,0.0006574517253068382,0.3507459912728673,,,100012801.8,2482,2157,4143510.83875631,1453319.816489451773545379668,1920.96005505624,673.769038706282643164887557,144.44,50.661750979452952812,4143510.83875631,1453319.816489451773545379668,,,
2016-05-31,774,7872,5255791,667.65637703252,31035372.75551850746456098,0.565142364106989,0.1753709008632937655207152774,0.1,0.031031278488634717,655,203.25487410055739635,0,0,0,0,0,25.25188238,,0.0005844551674459381,0.31031278488634717,,,100013194,1159,960,3960623.31064828,1229032.049413051874440653843,4125.64928192529,1280.241718138595185354372943,200,62.062556977269434,3960623.31064828,1229032.049413051874440653843,,,
2016-06-01,468,8630,5665552,656.495017381228,33438433.4230003841624511,0.572566371681416,0.1914314315260953883160556003,0.1,0.033433928535469515,452.9,151.422262337141433435,0,0,0,0,0,23.5402511,,0.000621895049386324,0.33433928535469515,,,100013474,791,669,4248615.42775355,1420479.04586205434965110958,6350.69570665734,2123.28706406894576187908121,150,50.1508928032042725,4248615.42775376,1420479.045862124560901034066,,,
2016-06-02,385,8594,5648540,657.265534093554,33131442.18499424508964576,0.6996875,0.2317846919244083055625,0.1,0.03312688763546702,447.8,148.34220283162131556,0,0,0,0,0,58.60840668,,0.0006148599810052603,0.3312688763546702,,,100013748.8,640,497,1706474.4542708,565301.8749942369516119154902,3433.5502098004,1137.428319907920631970349828,194.99801723,64.596774059170719250567546,1706474.4542708,565301.8749942369516119154902,,,
2016-06-03,460,8521,5589084,655.918788874545,41013203.009849559028538626,0.304487179487179,0.1248625967777080287454861813,0.1,0.041007505468047334,285,116.8713905839349019,0,0,0,0,0,49.47619798,,0.000719207864114553,0.41007505468047334,,,100013893.9,936,870,2021454.71944488,828948.1546104600606229404395,2323.51550510906,952.8157478085254116925891225,282.8,115.969225463637860552,2021458.48944488,828949.7005934162060074322395,,,
2016-06-04,542,8430,5542730,657.50059311981,44211545.962212797139220164,0.306859903381643,0.1356484366807608015120025862,0.1,0.044205331223106803,317.6,140.396131964587206328,0,0,0,0,0,35.78898681,,0.0007697707282291058,0.44205331223106803,,,100014058.8,1035,961,2794548.48271298,1235339.412973578367029737344,2907.95887899374,1285.472854290926323756971884,351.63156669,155.4398987403141906808719207,2794548.48271298,1235339.412973578367029737344,,,
