date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-06-02,11559,587,2914411,4964.92504258944,0.24867568,65649767.17723003589074776755,263997538.7421081674619564884,38900.6291267761,0.00119300780112045,0.00197921678123973532297709995,0.001,0.00165901411489589,4.25903785,7.0658039090258443194365,29350,27.0718453751275,48692.0642721943715,29350,48692.0642721943715,34.82813346,43.652415157877336,0.00736289817708942,1.65901411489589,-85.6514487302736,15.745786719616781,39571554.32722152,3570,13962,1136195.09277844,1884963.696194877256571436612,245.64986405886,407.5365917959053234617320854,0.042126635,0.06988868207806722103015,3429763.4019898,5690025.894654424618245841922,0.0533303415837949,0.0452044272610658,0.0357346580145159
2015-06-03,11971,580,2797743,4823.69482758621,0.25333151,66883738.18444179412639028566,264016653.4976387239567393385,38900.6291267761,0.00122765134262845,0.00207345357601969574838682319,0.001,0.00168895964515491,4.75469365,8.0304856999243038433215,29000,26.729423816989,48979.82970949239,29000,48979.82970949239,32.28216072,43.572865867155066,0.00749938577966102,1.68895964515491,-85.459227295047,19.69868337667132,39600554.32722152,3873,13803,1226700.86040993,2071848.249909178157560952256,207.089817118246,349.7663440352279707524574879,0.145,0.24489914854746195,2858460.74568315,4827824.846718252460595526766,0.0533526808216231,0.0452107617936634,0.0357684301193769
2015-06-04,11083,605,2542026,4201.6958677686,0.2509271,66255072.65094122191741695843,264041122.7743909336997161679,39174.0661979408,0.00277476520338432,0.004638873049903118968255723622,0.001,0.00167180741788357,8.52685347,14.2552568823522589104879,30250,27.8602722993841,50572.1743909779925,30250,50572.1743909779925,39.16633097,43.39937908576585,0.00747878161893629,1.67180741788357,-85.0784233012424,19.104561625058633,39630804.32722152,3073,12120,1011858.99575066,1691633.374948173123520630656,236.675992884917,395.6766805399632750627151137,0.065119785,0.10886773961398323343245,2868513.0337652,4795601.368144364857732317764,0.0532242303621878,0.0450657114176157,0.0357202649889854
2015-06-05,9303,571,2828537,4953.65499124343,0.262104,69223955.42535798394072349763,264108734.7557092650629502797,39384.340904714,0.00111736994278832,0.001950328451517995577563783102,0.001,0.00174546350034357,3.71078558,6.4770407874912446017206,28550,26.275642094474,49832.9829348089235,28550,49832.9829348089235,21.4607148,42.96922643672359,0.00776689883459965,1.74546350034357,-84.66243497292115,26.724885329814178,39659354.32722152,3321,20233,1847997.82777398,3225612.757093684953418306309,187.503351854069,327.2802568533552925780024863,0.00101818,0.0017771960267798161026,3793755.31806338,6621861.436913940991257035467,0.0533292809657283,0.0448007581867728,0.0361551158729192
2015-06-06,22869,600,3825429,6375.715,0.263952,69708119.16879357124008042995,264093918.5195687607836316806,39384.340904714,0.00185452831115055,0.003257187795240055598700010323,0.001,0.00175634298794786,6.27016022,11.0125519357066112061292,30000,27.5892621223364,52690.2896384358,30000,52690.2896384358,33.92834276,46.516747119275664,0.00780040409117475,1.75634298794786,-84.29518216560369,21.136944523165795,39689354.32722152,3381,27221,1169799.37992617,2054568.938239083297526609496,126.474055793541,222.1318210503121537714327723,0.01582348,0.0277914581429332037528,3442750.27275599,6046650.300810565472276622681,0.0532660234987702,0.0446701958025672,0.0357542053781679
2015-06-07,13399,586,4665164,7961.03071672355,0.25792414,68115563.29403904494359601822,264091459.5285131013531034951,39508.2142796425,0.00194047851015062,0.003327826408466679869934981685,0.001,0.00171495143649304,5.92622137,10.1631818514572515042648,29300,26.9256352742808,50248.077089246072,29300,50248.077089246072,38.33132151,46.28820207139015,0.00767619397311513,1.71495143649304,-84.78654652263373,15.457046932950188,39718654.32722152,3054,12405,1036193.19037454,1777021.000317123441421703202,225.957134679408,387.5055127043020549122233203,0.06253437,0.1072434076616872657848,2802998.25569806,4807005.885096873439403531502,0.0532865553124938,0.0445961275043971,0.0358268426453989
2015-06-08,11837,545,3002248,5508.7119266055,0.2690339,71068494.30728079031384685523,264161851.2108018364504127349,40258.9167807128,0.00128090484954326,0.002290348667336441970954469616,0.001,0.0017880708845416,4.76752785,8.52467773982621248356,27250,25.0245910071995,48724.9316037586,27250,48724.9316037586,22.10538849,45.9133364251309,0.0078158733395675,1.7880708845416,-84.24623672200477,23.651909550939873,39745904.32722152,3722,14146,1798018.81105346,3214985.085902796181525193936,339.320686463384,606.7294399878459463000247744,0.0789,0.14107879279033224,4800030.43071103,8582794.658068068641923613848,0.0533951218932788,0.0450220303559942,0.0356825327479921
2015-06-09,11134,548,2603642,4751.17153284672,0.27124644,71672312.9479169718377250735,264233196.3016053648662939247,40258.9167807128,0.00125127423865755,0.002254821929777425903850410312,0.001,0.00180202058039375,4.0266005,7.256016970023763946875,27400,25.145006604732,49375.36390278875,27400,49375.36390278875,35.53421536,45.78210127442394,0.00785637363354763,1.80202058039375,-84.09737654223157,25.358457634961585,39773304.32722152,3218,12307,1119295.97766691,2016994.387307714996214145812,216.006631940978,389.2483962591803126540000875,0.24671222,0.444580497874630536625,2658393.61929762,4790480.012761738872618037875,0.0533953908994984,0.0450148536023384,0.0353897810598077
2015-06-10,11285,564,3363022,5962.80496453901,0.26411719,69772204.16187385886866060011,264171386.0296367367346829735,40258.9167807128,0.00151599255523535,0.002657541313065882264632345313,0.001,0.00175300419773718,4.73444475,8.299501520704753730805,28200,25.8608315790725,49434.718376188476,28200,49434.718376188476,25.46569939,45.24539490141232,0.00766882102162478,1.75300419773718,-84.18580701411192,21.541402629648594,39801504.32722152,3123,12400,1562945.65948828,2739850.30191805999357273025,254.920628129845,446.8769312014169346042241371,0.10113271,0.1772860651585368811578,3161015.78881008,5541273.946897573495100774774,0.0534249301948775,0.0454781089826204,0.0353323086280545
2015-06-11,12086,548,3260989,5950.7098540146,0.27008814,71360929.7946931435891041287,264213488.2694919658447701063,39175.1126447977,0.00139209440935673,0.002494197445090011725761189971,0.001,0.00179168699215059,4.76096288,8.5301552622078103600992,27400,25.1099049018145,49092.223584926166,27400,49092.223584926166,35.77906571,44.982343833766166,0.00780404461484512,1.79168699215059,-83.54733688929983,24.058832740330878,39828904.32722152,3420,13486,1113190.17253311,1994488.351917444184386881035,209.58232982707,375.5059341357759315220984713,0.09288,0.1664118878309467992,2826427.30004787,5064073.027755081343421248743,0.053423989443739,0.0455464940484652,0.0351954776529181
2015-06-12,12569,607,3513729,5788.68039538715,0.27220484,71945597.48124992053459142016,264306829.9358886640989738722,38075.3702127662,0.00132392552182639,0.002389673723108880640308787959,0.001,0.00180499105403774,5.27716713,9.5252394603120153074862,30350,27.7921656764024,54781.478490045409,30350,54781.478490045409,29.14325702,44.88981592937972,0.00785423386090006,1.80499105403774,-82.38857455249503,24.928268549849086,39859254.32722152,3986,14939,1367700.7446961,2468687.608777215474794230814,219.76331645702,396.6708202105859430621679348,0.10683984,0.1928449554148234955616,3283044.18455142,5925865.383125940190521650591,0.0534162361834773,0.045536906000099,0.0351974570732564
2015-06-13,23790,554,4537112,8189.73285198556,0.28044875,74154284.2435907036234349748,264412958.2264246327146627627,38075.3702127661,0.00176298708737864,0.003277589071423154380273811223,0.001,0.00185911121805013,5.99239311,11.1405252537673066466043,27700,25.347886722702,51497.380739988601,27700,51497.380739988601,28.09257985,44.5688297753013,0.00797849266861485,1.85911121805013,-81.70930680875817,28.34546019515145,39886954.32722152,3399,26011,1419839.49277091,2639639.528841005238840985718,170.519560647932,317.0148280975498752764568312,0.01755992,0.0326458442600628387896,4435384.29201337,8245872.693645389787543290238,0.0526889468377559,0.0457179092887665,0.0353083233303448
2015-06-14,13686,553,3699797,6690.41048824593,0.29939557,79190384.95952052530991079931,264500856.0174735729532437884,38075.3702127661,0.00126082617806978,0.002501473134741635224846518716,0.001,0.00198399523919402,5.56528675,11.041502416749560185235,27650,25.2846048961511,54857.468363714653,27650,54857.468363714653,20.36656857,44.026236810395055,0.00853305195791934,1.98399523919402,-79.83498612450418,36.08311410989052,39914604.32722152,4414,15448,1959809.97915819,3888253.668374780520013682024,410.633658883769,814.6952242782188928724198614,0.220988995,0.4384411139942710898099,6343468.76243647,12585411.82464993832925425391,0.052877759325928,0.0468083666745843,0.0360881213096931
2015-06-15,15436,568,4158173,7320.72711267606,0.30142005,79787281.13859926992651460911,264704623.3198909312749817311,38381.6833981142,0.00139240387657143,0.002781366134814429791183865978,0.001,0.00199752829018481,6.09176696,12.1684768398131178518776,28400,25.9519787622372,56729.803441248604,28400,56729.803441248604,18.1179303,43.91459881899594,0.00843582992285214,1.99752829018481,-79.83537662091688,37.84140903100082,39943004.32722152,4375,17368,2204611.87714827,4403774.593481108170574071779,390.209181248065,779.4538786328619040453048926,0.05740251,0.1146631376526164578731,6777153.0599164,13537554.96409555969195914988,0.0527984016010369,0.0467783639267581,0.0360855058954564
2015-06-16,17179,538,5356619,9956.54089219331,0.42204653,112695652.3663572381196660811,267021863.8544116668732361799,38398.7640590073,0.00135576545553483,0.003822597903073093875696094279,0.001,0.00281951268743983,8.72028341,24.5869497125660649222203,26900,24.5647323036325,75844.891292131427,26900,75844.891292131427,9.47641879,42.3301314101946,0.0112137878153127,2.81951268743983,-70.7763320982041,94.34012058620362,39969904.32722152,6432,19485,4217827.98070523,11892219.50503711447300659131,866.481343279882,2443.0551408075339800777245,1.0282286,2.899103583288493985138,16883388.9738085,47602929.41863479743078969256,0.0588019589185098,0.0774348881222902,0.0569616129884964
2015-06-17,18670,574,5377801,9368.99128919861,0.42481921,113520353.5436923555946061393,267220387.3591226003720941721,38398.7640590073,0.00154043747358889,0.004371927709856429434151693488,0.001,0.00283810786533956,10.2069387,28.968393005508743604972,28700,26.1896638050213,81453.695735245372,28700,81453.695735245372,10.15169481,41.27567629542324,0.0114453993430742,2.83810786533956,-70.62986032915798,97.2984155886736,39998604.32722152,6626,21425,3940091.29090456,11182404.08287213209910395239,856.81171734304,2431.724074106377713750602662,1.16591506,3.3089927021038450177736,18357191.04407464,52099688.28772916522196958476,0.0587755039529007,0.077419361007812,0.0568937337828489
2015-06-18,14890,599,4615210,7704.85809682805,0.45597234,122315324.0829308395297808025,268251630.6105359058148304914,38164.0106751983,0.00133333047857006,0.004074260295856815479069831589,0.001,0.00305570176437149,6.93731848,21.1983763193429431621352,29950,27.3098796190244,91518.2678429261255,29950,91518.2678429261255,14.09603354,40.41855896226813,0.0122712796160483,3.05570176437149,-68.37628701619032,111.43675828191616,40028554.32722152,5203,17049,2839703.39609403,8677286.677736239595483891205,675.778496292249,2064.977543444537682414843581,0.99700327,3.0465446512231450247723,11521347.58328656,35205802.13818594372320696417,0.0589773707681363,0.0779260776256323,0.0574571030918321
2015-06-19,14895,581,3941046,6783.21170395869,0.42054053,112858163.4199279695093123737,268364533.5248081466249897379,37795.2564328202,0.00147791406595658,0.004163870255790385146511008837,0.001,0.00281739672942034,7.21517647,20.3280145887685939073998,29050,26.4700053287871,81845.374989660877,29050,81845.374989660877,13.7682459,39.417850321115644,0.0115088097638808,2.81739672942034,-71.81367923703313,93.244308606052,40057604.32722152,4882,17918,2909419.58994981,8196989.237236061398610993135,619.352257385869,1744.961024318051939292077175,0.493954175,1.3916648771285222729195,11097553.74784,31266211.6337308525577270656,0.0592821007961608,0.0803870246781466,0.0587360201209551
2015-06-20,30176,609,5891027,9673.27914614121,0.4516767,121365259.2943685618160390211,268699401.2543961204905146507,37795.2564328202,0.00104849424381111,0.003174281663312840879559925625,0,0,10.08022366,30.5175439110896172791206,30450,27.7245932398693,92186.3684215791345,30450,92186.3684215791345,21.90567328,38.86733380810746,0.0123276975400351,3.02746694323741,-69.0940526889405,105.14153093458481,40088054.32722152,9614,35047,1830030.68700902,5540357.410029855178228671438,203.09944637481,614.8768600895563024696736421,0.0349389,0.105776364783077544249,7118026.29709798,21549589.31555872190526917143,0.0595220826725547,0.0733016766381869,0.0592436295309467
2015-06-21,28408,632,6469817,10237.0522151899,0.44742589,120291758.0082423474486112764,268852922.6064830267941677259,37904.6465529052,0.000505207590681393,0.00151477649200329125922623906,0,0,8.37078457,25.0983316960025310241531,31600,28.7490014393621,94747.066414311028,31600,94747.066414311028,24.1162194,38.460409608545916,0.0122731137720631,2.99832488652883,-69.35850489474717,65.97268609077437,40119654.32722152,16569,29052,1663596.33972203,4988002.306526832523773781125,162.082963848298,485.9773841887045559159234313,1,2.99832488652883,4708834.26572076,14118614.96545026425957446951,0.0594630098763974,0.0732077461679681,0.0593123666577379
2015-06-22,13793,587,3175000,5408.85860306644,0.44972134,120967884.921357589299591089,268984088.9106284068815664197,39567.9373531714,0.00174893080027675,0.005269482103690736246142262242,0.001,0.00301297347090971,7.58336395,22.8484744016030685189545,29350,26.6824798759371,88430.7713711999885,29350,88430.7713711999885,22.89850535,38.1312172684038,0.0121973895935126,3.01297347090971,-69.13078014766515,69.46406633138457,40149004.32722152,4336,14859,1753346.068697,5282785.19030789492074434787,272.142933653973,819.9594393949619572706657778,0.56630132,1.7062508537011503738172,4043771.85116438,12183777.30996972523972134813,0.0594166159155844,0.0732046767604322,0.059181695017329
2015-06-23,14800,544,3646452,6703.03676470588,0.44248035,119090988.2584103837475666697,269144130.9914909755018015434,39567.9373531714,0.00194291138147962,0.005759210965634870759928273133,0.001,0.00296421700986123,7.72112983,22.8871043774329471134909,27200,24.711144734181,80626.702668225456,27200,80626.702668225456,30.57851494,38.213979006319114,0.01213923821391,2.96421700986123,-69.21116883467586,61.67133452748599,40176204.32722152,3974,16209,1313870.3566461,3894596.859922810380769220703,206.53002173902,612.1998034858126936134761946,0.13391998,0.3969678826762757243754,3347645.12236778,9923146.614701552238306823169,0.0594051336793571,0.0729222066987704,0.0591937164814693
2015-06-24,14979,595,3744943,6294.0218487395,0.41803557,112514893.036277416828186693,269151482.2985757310129940021,39567.9373531714,0.00155233482609635,0.00434415224902309303360897676,0.001,0.00279846343455897,7.18575791,20.1090807607278860389527,29750,27.0078155877724,83254.2871781293575,29750,83254.2871781293575,20.24185472,37.684865687651374,0.0116383674354179,2.79846343455897,-70.64728518384584,57.35594135484452,40205954.32722152,4629,17321,1986278.17838922,5558526.853084631103155702303,299.939315949757,839.3692082720250251219736703,0.240706,0.67360693947895143282,5195248.89156574,14538714.05647974267006966169,0.0595450921138709,0.074247343339049,0.05942039976672
2015-06-25,15327,631,4390976,6958.75752773376,0.42450256,114348047.6089440072078406143,269369512.2442919424688728357,39628.4605982867,0.00164081813297394,0.004662922144999705696435703402,0.001,0.00284182753182297,9.13115291,25.9491617369234301203427,31550,28.6194439554477,89659.6586290147035,31550,89659.6586290147035,22.42571894,37.31713692148973,0.0117262333530099,2.84182753182297,-68.96944012503329,57.368331052957885,40237504.32722152,5565,29539,1794257.05072744,5098969.085924722294187801297,247.50678926264,703.3716080396762041013148408,0.00365,0.0103726704911538405,7311103.04802913,20776893.92988401539941456312,0.0595553761198997,0.0742469385519897,0.0593960787731428
2015-06-26,16270,565,4277575,7570.92920353982,0.42784317,115273443.8272236048091569533,269429203.639955586441359248,39668.4377944025,0.00167724803284606,0.004801652424722944071655474294,0.001,0.00286281595249523,9.29363135,26.6059560853897802534605,28250,25.6079891517868,80874.5506579902475,28250,80874.5506579902475,28.98632155,36.926788266868535,0.0117826873641146,2.86281595249523,-68.46038843103818,55.949342073757826,40265754.32722152,5541,19737,1389129.49879037,3976822.089218774541668194935,261.513045446768,748.6637182906175027397389166,0.11954878,0.3422461544853427023194,5161482.97798286,14776375.80790191760576917176,0.0595475998943376,0.0741337368931105,0.0593359577463623
2015-06-27,29635,577,7006838,12143.5667244367,0.4646641,125398042.6541169899690592393,269868154.2804387270740440292,39668.4377944025,0.00173963923570401,0.00541381057647499402681753625,0.001,0.00311203062414495,15.72807833,48.9462614219105628739335,28850,26.1331515120156,89782.0835065818075,28850,89782.0835065818075,25.47764629,36.55280000458739,0.0123724365061368,3.11203062414495,-66.39382151730699,70.84835812937558,40294604.32722152,9041,41198,1581566.989098,4921884.9042096982722217551,147.562386775041,459.218666615849358818626193,0.013830885,0.04304213767902702678075,6079275.21035815,18918890.62723979574972701384,0.0598709895809826,0.075110045539131,0.0600101406446973
2015-06-28,21734,646,6300148,9752.55108359133,0.4610385,124518508.0513385333822618627,270082666.7198788470608064128,40144.4757192295,0.00175356345903771,0.005414526836004331990332652785,0.001,0.00308772791089957,16.1818836,49.965253642648013030052,32300,29.2348252281835,99733.611522056111,32300,99733.611522056111,20.89543482,36.16422946086695,0.0123976116715371,3.08772791089957,-66.1062504849297,69.71151819145598,40326904.32722152,9228,28084,1929938.50903743,5959125.000674774630246100905,171.951960887073,530.9408689649264857626142586,0.044679595,0.13795843252918887327415,4829098.86955257,14910943.36401103207131210539,0.0598623852437164,0.074831116946929,0.0598065210765684
2015-06-29,23517,538,7727783,14363.9089219331,0.55655048,150982325.3693191210219044661,271282356.9151527818354773506,41691.5989749168,0.0014976539488269,0.005603419047157718432451490674,0.001,0.00374146447618746,16.21360165,60.662614604529387165309,26900,24.3310393250252,100645.394409442674,26900,100645.394409442674,12.45853801,35.20656113992457,0.0145780683196961,3.74146447618746,-58.22340126302089,110.75785233342692,40353804.32722152,10826,30290,3239048.13690248,12118783.5408818055600442189,418.632086657812,1566.297080822433936851385438,0.366105745,1.3697716394456448029577,12680365.90486513,47443138.57811154085864789727,0.0615302334541397,0.0785113269297226,0.0639813266187188
2015-06-30,22363,537,7999644,14896.9162011173,0.61238834,166534755.7211731611229483188,271943055.0729904351343379515,41691.5989749168,0.00257361258064516,0.01061389295392753166711965375,0.001,0.00412412226834344,20.10506148,82.9157317560819189546912,26850,24.2696661638626,110732.682905021364,26850,110732.682905021364,9.65578703,33.99584881336128,0.0156302981589714,4.12412226834344,-53.44948213896493,153.6185116687707,40380654.32722152,7812,24520,4182015.84245951,17247144.66245231660030297411,552.085970489792,2276.870044936950459593270164,0.821360855,3.3873925924511073120412,13537147.99640971,55828853.5018540671703092308,0.061933492921948,0.079045339596689,0.0648320105722774
2015-07-01,16010,599,4270300,7129.04841402337,0.58625292,159568410.1281998436342731109,272183566.7166931312412180382,41691.5989749168,0.00189972373119938,0.007501394758061001761347718276,0.001,0.00394867666011891,9.85196727,38.9022332153044156280757,29950,27.0516865114935,118262.8659705613545,29950,118262.8659705613545,14.45090406,33.24755208316285,0.0153024187948568,3.94867666011891,-52.234306639824645,146.5192622236559,40410604.32722152,5186,17944,2796406.65819253,11042105.70340596171307547374,570.14918230448,2251.334768951581628704625717,1.2,4.738411992142692,10230756.92727159,40397951.09406718422031126477,0.0599866214448639,0.0802937206970924,0.0653120823974554
2015-07-02,17590,592,4782816,8079.08108108108,0.60379832,164790109.5985738260046894539,272922437.4696814994895143599,41054.1354313,0.00296002955752212,0.01206184793855619337580095215,0.001,0.00407490793728875,15.0517503,61.334496767558323999125,29600,26.7159876655903,120617.274943747,29600,120617.274943747,18.91325618,32.75804580898913,0.0159958944506137,4.07490793728875,-50.091095980553504,145.62225846670796,40440204.32722152,5085,20796,2138193.65288704,8712942.2876098256777076128,438.627842412076,1787.368076560807506543698945,0.15729086,0.640945773876973555825,9121704.61080154,37170106.52015858348419192468,0.0595034303332098,0.080260751860483,0.065191362310034
2015-07-03,15682,614,4221166,6874.86319218241,0.61367781,167932221.8180884935695983461,273648843.1900970359680688392,40752.8466917798,0.0026175066102719,0.01086122754096291586607397833,0.001,0.00414945563015586,12.99592032,53.9259947408809457410752,30700,27.6877924678915,127388.287845784902,30700,127388.287845784902,18.04091262,32.242259453440916,0.0162033017533606,4.14945563015586,-48.95442934081364,145.6811589346929,40470904.32722152,4965,16971,2243284.75911258,9308410.573742527247380686719,543.647964808276,2255.843108396475690588897897,1.13522519,4.7105665561402558981134,9226249.61076126,38283913.39259662215722704998,0.0593227933414914,0.0799208735558783,0.0651188847174818
2015-07-04,25093,600,5130637,8551.06166666667,0.61175938,167555447.3202904668527475941,273891094.9842393374805241529,40752.8466917798,0.00389677969715957,0.01612128608267524186066312878,0.001,0.004137079161654,18.65778119,77.18871776384897048826,30000,27.0364333387002,124112.37484962,30000,124112.37484962,21.92708263,31.86903971115316,0.0158807386931619,4.137079161654,-43.67896802990885,147.4614669966801,40500904.32722152,4788,29910,1847072.18034498,7641483.82737603575490739692,185.639931316365,768.00709141981345485066771,0.01558025,0.0644567276083597335,5552490.34567249,22971092.10436667359605069846,0.0593110718655795,0.0801366642422426,0.0649946696706664
2015-07-05,19148,625,5350530,8560.848,0.71331598,197157370.1755392981127213423,276395561.6291541369045464783,41588.2818881545,0.00306931571675031,0.0149298310192835937960826551,0.001,0.00486422134347613,19.56995701,95.1926025789523080611713,31250,28.1412379611402,152006.9169836290625,31250,152006.9169836290625,14.04326077,31.192475923143096,0.0179291458527177,4.86422134347613,-33.46262159975854,178.67791807268821,40532154.32722152,6376,22249,2886235.25424054,14039287.12597008911544676831,614.132518113683,2987.276502331317864785736887,0.71165395,3.4616423327590946452135,13663834.39551134,66463914.90036952489726443431,0.0604788741919191,0.083642200594346,0.0675000733636326
2015-07-06,22079,592,7031907,11878.2212837838,0.78292535,218905522.1766929843590150469,279599482.9578382477561066819,43073.500015043,0.00374109358614473,0.02019010416512689527258088062,0.001,0.005396845521294,29.05333279,156.79634894637561343026,29600,26.6359287935169,159746.6274303024,29600,159746.6274303024,9.98901454,30.260268103474786,0.0200523401472823,5.396845521294,-24.461058967558117,207.27742578343214,40561754.32722152,7766,29866,4060636.23032869,21914626.45325354203601412486,742.070639791237,4004.840608841110546598100678,0.19481065,1.0513629839528729811,22162681.72800509,119608569.6236486386597353865,0.0607364996787027,0.083789364325715,0.0683671897277821
2015-07-07,18430,633,5329179,8418.92417061611,0.76175438,213602627.6429658362723943403,280408793.7105485459144435296,43073.500015043,0.00456287347276903,0.0240098552841074424165119133,0.001,0.00526200330283031,27.81527669,146.3640778119189327684739,31650,28.4584409498594,166542.4045345793115,31650,166542.4045345793115,14.90117688,29.789620544264004,0.0197470818527177,5.26200330283031,-31.06842626882807,206.83103852729215,40593404.32722152,6096,20070,2724174.38201792,14334614.59566401369430513916,461.158289671624,2426.616443379662323199694123,2.37718664,12.5087639511240871190584,9255446.87370949,48702192.01862980346244570664,0.0607796834890686,0.0846467435273747,0.0683488526046072
2015-07-08,18929,616,5555175,9018.14123376623,0.9112588,258755649.6215050907681575016,283954075.4174221283675133042,43334.1947438592,0.00448792444364057,0.0285858104570505661958451862,0.001,0.00636949458842983,31.01604583,197.5565360686765950191089,30800,27.6731573853053,196180.433323638764,30800,196180.433323638764,12.49225077,29.234920972803167,0.0235404885300994,6.36949458842983,-17.74485912530236,256.2215929746404,40624204.32722151,6911,21728,3251952.35700282,20713292.93976109257234868212,596.824918580218,3801.473089136772449613519103,4.5,28.662725647934235,12967811.83091098,82598407.28076381277905670653,0.0605161751536153,0.08909222613534,0.0716936782394015
2015-07-09,25151,539,8664444,16075.0352504638,1.07577389,313255307.9842313125274767918,291190658.1471868929563996449,46285.2590740583,0.0100837163939362,0.07770450155440955891537097118,0.001,0.00770593881449669,97.11627259,748.3720544705219896927271,26950,24.1979598434501,207675.0510506857955,26950,207675.0510506857955,8.23561524,28.256700818804674,0.0285743477649409,7.70593881449669,-1.2216687937500457,327.62768074562763,40651154.32722151,9631,26588,4936019.12565359,38036661.36947201363896314162,710.7136414895,5476.715835946223182044419755,5,38.52969407248345,18896454.29992284,145614920.6461382898473404354,0.0619622370256361,0.0920287595357394,0.074781396560584
2015-07-10,26359,541,9803943,18121.8909426987,0.63301847,179790216.0268791851543685668,284020492.0686627710886298634,46285.2590740583,0.0104013120983296,0.0459718952704666565163254848,0.001,0.00441981692654425,120.80083871,533.9175916711998619279175,27050,24.2715974396955,119556.0478630219625,27050,119556.0478630219625,5.76438713,26.983420330165913,0.0154777832910579,4.41981692654425,-43.33105764639536,152.12814277623843,40678204.32722151,11614,27650,7056813.40180614,31189823.3207670872366586317,1273.46328314191,5628.474574163226669818644518,8.07874624,35.70657937680771588112,35211259.77887373,155627321.9756128572054060076,0.0749231091829219,0.145548892419921,0.106654162416139
2015-07-11,29386,573,6456265,11267.4781849913,0.62439474,176341031.7013034736612958225,282419152.1964944300706268681,46285.2590740583,0.00778392990355793,0.03371978141199993578532230926,0.001,0.00433197392959398,59.72609415,258.731882774275520753217,28650,25.6891626062273,124111.053082867527,28650,124111.053082867527,12.21600082,26.522530830947485,0.0147387433892461,4.33197392959398,-45.30234775511836,141.78184853562195,40706854.32722151,7673,38066,3332257.00571505,14435250.4754644946191860754,437.910814496803,1897.018231887416115443798046,0.1,0.433197392959398,16669513.0646353,72211896.01502636886322577549,0.0745981962729716,0.1457981089706,0.106748898748008
2015-07-12,22623,586,5875311,10026.1279863481,0.7575422,214944026.3352228892023565602,283738683.9081198710978764573,45613.880089314,0.00658173967992373,0.03472850224714868137204168952,0.001,0.0052764928325988,48.32313273,254.976663498565483238724,29300,26.2530918213198,154601.23999514484,29300,154601.23999514484,13.51170724,26.083434878987028,0.0169399672121566,5.2764928325988,-39.344369129435236,192.3279215592431,40736154.32722151,7342,22907,3014878.40101817,15907984.2741293046932871202,569.518542598827,3005.060508054825020416241608,3.08322867,16.268633978518130767596,13045961.25531133,68836921.0580118762730669844,0.0721244772398468,0.149060627605473,0.109224276898864
2015-07-13,15404,602,4497535,7470.98837209302,0.67479686,191729251.7196766244188330031,284128843.1593244396093040167,44844.1305573543,0.0103661235729131,0.04875329236567096469016670237,0.001,0.00470313632890354,59.85399751,281.5015101193830241901854,30100,26.9499864074189,141564.403499996554,30100,141564.403499996554,16.15566099,25.84337846326555,0.0160708997177563,4.70313632890354,-47.986978477554366,152.9776746673755,40766254.32722151,5774,17076,2523341.77784937,11867620.38564341798887137977,508.035953250401,2389.36234812110142886739532,0.859,4.03999410652814086,8675221.93770384,40800751.45651589283869244759,0.0722692581350295,0.151536727944691,0.110656458776444
2015-07-14,12575,609,4156229,6824.67816091954,0.66088499,187562315.6041640337505543341,283804774.6004219415102526955,44844.1305573543,0.0148093639401224,0.06808585740051467673612222912,0.001,0.0045974869464888,67.76764939,311.560883464754689961832,30450,27.243009412856,139993.47752058396,30450,139993.47752058396,15.67340167,25.532107228300916,0.0159778680187025,4.5974869464888,-47.10645984487734,131.72872876229718,40796704.32722151,4576,13567,2602925.97473702,11966918.19153008544939237538,495.83667550446,2279.602643222157781765740048,0.81580089,3.750633942708945415032,6727016.17656901,30927369.06059502005025039209,0.0721108828907351,0.15179540017913,0.110745017670882
2015-07-15,14786,592,4553883,7692.36993243243,0.60233,170633161.3759199304221989227,283288500.4667463967993630287,45007.2899204773,0.0155091035106176,0.06482022415737889280563360678,0.001,0.00417949523084959,79.60822832,332.7222105998252682983888,29600,26.4633592380193,123713.058833147864,29600,123713.058833147864,17.61089764,25.273990401675423,0.0146175610403273,4.17949523084959,-51.85237174707121,109.23334359699639,40826260.57722151,5133,17633,2318238.47994804,9689066.670914836058028255304,357.475083432972,1494.065406355665754857378681,4.062,16.97710962771103458,6303358.14617359,26344855.31026943220438332033,0.0723378753925854,0.140673150654915,0.111729410684676
