date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-06-22,8524,237093,7116374048.9548854433436,0.0313828436998982,1.185756673460115470823012883,0.000625,0.023614747216644875,2133.34294903,80605.367148408259095577154,0,0,93.31821045,,0.00353603664882303,37.7835955466318,,19.24350484741259,188345602,79078,37088,2018315.62243145,76259221.16339832372057389011,54.31469707,2052.204546330707275828826,4.999875,188.913254783715671025,2014423.48482385,76112162.21022093021228380843,,0.041619598323054,0.0507446742794168
2019-06-23,8660,237208,6993834544.4644996976668,0.0304797470052261,1.13180400948087272024162516,0.000625,0.023208116058320875,2128.12641565,79023.68774589377611411471,0,0,125.28059042,,0.00344001430532336,37.1329856933134,,8.926759238280008,188345602,77769,39298,1503390.12107957,55825363.85751637298853834724,38.11908507,1415.475440546506424770938,5,185.664928466567,1498003.80503055,55625353.86072844897041772437,,0.04138177436307,0.0502618563553827
2019-06-24,8874,236297,7039905612.492430350837,0.0652736870116432,2.439773430660415514333094919,0.000625,0.0233609968116365625,5198.20061255,194296.236697644441848762175,0,0,134.77016771,,0.00339666413092055,37.3775948986185,,6.025655132230043,188345602,90324,41603,1397531.85145577,52236379.40163005607478685374,33.34787865,1246.463498907988790645025,4.9,183.15021500323065,1387371.79535599,51856620.94058524137316669982,,0.0405248087925161,0.0502390334745497
2019-06-25,7742,237178,6763120769.6192003255058,0.10492018344726,3.767477787054569683477990854,0.000625,0.0224425228735205625,8356.78769138,300075.838260721192363734402,0,0,137.36697923,,0.00306218904126268,35.9080365976329,,6.213501677647782,188345602,92771,38723,1371112.64331043,49233962.97546810486375788115,35.07621739,1259.518097746647559816131,4.246011,152.4659183819518673619,1358256.3659425,48772319.29723115485167750825,,0.0413187732936319,0.0504944778041477
2019-06-26,9604,237072,6676029759.8916214437172,0.0132476137266398,0.4695701017037607936848059483,0.000625,0.022153522862361625,1102.32069058,39072.458592669255615505588,0,0,2.06404831,,0.00275552881513199,35.4456365797786,,5.044737040796792,188345602,106665,39003,91250578.55377954,3234434845.11180868218776641,2339.42581999,82922.437420716090357654214,2.33841702,82.886679862888866071772,91244625.25725182,3234223826.726635461231620047,,0.0412323711804097,0.0505453377044778
2019-06-27,8856,236295,6335587337.402758068429,0.0470465563846663,1.582556554196028911927379841,0.00034779,0.011698993216073636955,4138.2150996,139201.6745072425597995042,0,0,123.72242663,,0.00302778645727568,33.6380954486145,,1.5509589121606107,188345602,113045,40532,1522323.85936439,51208075.28500254744387613766,37.35768097,1256.641238207749519516065,2.29502,77.20010181647924979,1514181.52496504,50934182.66330267493022893708,,0.0423716876977282,0.0506742095149086
2019-06-28,7593,236222,6468272713.1670339874322,0.107693702291928,3.698478905362557661823295401,0.000625,0.0214641085472725625,9136.73370245,313778.950331056529311878445,0,0,118.06360654,,0.00277892828731828,34.3425736756361,,2.1148086515806375,188345602,106116,39239,1595289.24721353,54786338.50638070597197527643,40.28142717,1383.367880345494765572837,3.15362,108.303427194959517682,1580602.92076066,54281972.25814857460952135583,,0.0410192656964168,0.0506753910189163
2019-06-29,8497,237711,6663742920.9260625629814,0.0134768663789869,0.4768169363956818756385427478,0.000625,0.0221127506103316875,1100.14355625,38923.520151871457085301875,0,0,170.80379227,,0.00296210311931146,35.3804009765307,,11.490664444727027,188345602,97472,39605,1102701.52378485,39014022.0689393978526862199,27.67448778,979.134474476498923944846,3.8184775,135.09926506986050600925,1096048.08854647,38778620.86233413432994633163,,0.0409436319575248,0.0507069694712524
2019-06-30,8441,237209,6017594838.608444721849,0.0161123690135422,0.5147861568524768669561858439,0.000625,0.0199685935545778125,1104.16453613,35277.780542974269083284185,0,0,168.75689586,,0.00294668257109441,31.9497496873245,,-2.569218663129089,188345602,80887,35767,1116076.47820837,35658364.11066809854545880606,31.06642142,992.56438804993614929079,4.99925,159.724786124357006625,1111152.69487764,35501050.46573665414278647418,,0.045301390643412,0.05207638224376
2019-07-01,8181,237946,6242539931.456043373456,0.0815933725589048,2.704336501263952956549439174,0.00032738,0.01085070583575442064,6141.45155914,203552.70411376224386851792,0,0,141.64845249,,0.00313580665108124,33.144070608328,,0.42074382302207974,188345602,93605,32453,1329669.32353986,44070653.94513284788055595408,40.70703626,1349.19688405720815397328,2.04861,67.89927448892682408,1321065.44760928,43785486.47378441058285808384,,0.0458238634552635,0.0522337145708808
2019-07-02,4213,237697,5998439367.1484039876908,0.0294333133781411,0.9373935138292071858250919539,0.000122,0.0038854615930564988,2120.022696,67518.5800140663398876784,0,0,91.43188024,,0.00295818311165658,31.8480458447254,,-4.185220327860514,188345602,91109,28572,2059955.47176939,65605556.30300447221513667551,71.89852186,2289.827420365271337597244,2.0098621,64.01018030237606636734,2054284.56656276,65424949.0540026280077540661,,0.0442421504352135,0.0523719224495409
2019-07-03,16415,238113,6140162058.5836869128868,0.0402337418907671,1.31164037179130541382536754,0.00005,0.00163002533464617,4102.99676428,133759.773474953193773896152,0,0,173.14368556,,0.00272761368750316,32.6005066929234,,5.661090991386786,188345602,121021,45153,1087799.4273169,35462812.51080284004587922546,23.86800794,778.109152594718853011796,0.3437538,11.20654805761785185892,1077712.1626541,35133962.57164993894223199594,,0.0428347843379717,0.0524214210525914
