date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-21,2213,44671287.78427482907766685085,7927.68756311,24134.4185099954899838835526,110.614771,39.59971922337842,0.000574862745762712,3.04432008929066,-87.28126061455137,7.466493342936656,14673650.1005331,8511,12185,132655.43081057,403845.5929701254320601302762,13.8725339928896,42.23243392392138316954769114,0.001,0.00304432008929066,169036.82670336,514602.2073629827358486386176,0.0593081972971847,0.0395212709893442,0.0405343263082696
2019-04-22,2611,45089306.18312847034134720562,6226.85627488,19125.8162423623669047522688,62.43325813,39.44847462047524,0.000570508633547633,3.07150436722276,-88.01350029534834,10.311543705025917,14679876.95680798,10373,15125,235129.11863147,722200.1147377985310958362572,16.6901939644536,51.26400365161418277639288394,0.001,0.00307150436722276,252439.18371236,775368.0552306623644398853136,0.0592953580398719,0.0393562897758823,0.040536923843974
2019-04-23,2530,42524516.01778810952111102836,8371.77362232,24237.445051028452361612412,37.40308769,39.16029508368027,0.000522129899473992,2.89513861034285,-89.83674940404303,5.688229404725059,14688248.7304303,10820,16557,392701.50237334,1136925.281860700978746099619,26.5394936199468,76.83551267805571221354676038,0.001,0.00289513861034285,439414.39586546,1272165.583410570837033072961,0.0594363502373115,0.040262104429598,0.039138040542612
2019-04-24,2400,39831968.68621208456947570509,14365.00803803,38917.3354157370639603065995,45.88545183,38.92646700749182,0.000498748527761543,2.70917602779665,-91.12056507081412,2.9546883911677737,14702613.73846833,9105,13522,320419.94032308,868074.021151321516261541682,28.6073228067076,77.50227316737260843266880954,0.001,0.00270917602779665,386828.2189923,1047985.737769211958252315795,0.0596231631065493,0.0422009286426983,0.0362720444883947
2019-04-25,2267,37777192.19770082335755432932,5241.23752008,13462.1423363985047986647384,67.70356965,38.82992461201749,0.000500910344827586,2.56850453443923,-89.90790010704526,-3.8880655336773358,14707854.97598841,8879,13241,217238.98831795,557979.3265516454894241931785,21.3721296002945,54.89441178897931146960035324,0.001,0.00256850453443923,282988.3680375,726856.906497876412918111125,0.0597372346283557,0.0416676636623077,0.0369631919320718
2019-04-26,2171,36902221.08038151779706669063,5169.64022352,12966.1447194319062709923696,60.69476542,38.64857819326834,0.000487000526008182,2.50813289877323,-91.07855423869289,-11.722531486921437,14713024.61621193,7885,11383,242410.10759485,607996.7658538017078708658655,24.7356302566011,62.04024801847173195629946855,0.001,0.00250813289877323,281565.67921089,706204.1431942629189954564747,0.0596276152286304,0.0412982364006144,0.036981228532069
2019-04-27,2236,37985288.17813537052953613056,5457.53735027,14084.7491494067255032213103,54.5393491,38.430568945760555,0.000498047887784921,2.58078841159189,-89.89360888147317,-11.911486277527482,14718482.1535622,7831,11436,269869.04678328,696474.9085856386426686355992,27.8760475362391,71.9421804425105255812946609,0.001,0.00258078841159189,318790.47962443,822730.7755405494734656338727,0.0596687095664626,0.0417380493051503,0.037112355277573
2019-04-28,2267,36252489.06090435126405363449,6403.08485499,15764.3173378320480830685804,121.9494513,38.39720144905,0.000478179426651081,2.46198788472196,-91.08637114567013,-16.39075025735452,14724885.23841719,6995,10126,120745.80969028,297274.7205884127973315145488,12.7122447054296,31.29739245238855640249835402,0.001,0.00246198788472196,128724.18988718,316917.3959728862030580684728,0.0597480005171091,0.042447565585788,0.0376105420329799
2019-04-29,1993,37725638.71261168262616231215,10218.96607297,26165.7793816961925707576535,89.60601767,38.59029007009373,0.000497302513150205,2.56051142501655,-91.86205290547538,-11.751915382479085,14733634.20449016,6501,9232,164426.83859037,421016.7987899945441559206235,18.407061361862,47.1314909180283471388888161,0.001,0.00256051142501655,169933.99049271,435117.9241552377417544043505,0.0598244426913301,0.0431927988075536,0.0377784352739652
2019-04-30,2532,38603384.29326021852359931445,4938.73215116,12935.5654697567768966559128,39.89493603,38.51570513058672,0.000497322501461134,2.61920773871458,-91.12637394217838,-10.479132673164347,14738572.93664132,7389,10284,369434.68030534,967626.1736052933645735098572,38.8861463903608,101.8508955544210384594944205,0.001,0.00261920773871458,399905.12947847,1047434.609881664735823585093,0.0598522634570352,0.0434690376172935,0.0377992365975731
2019-05-01,2435,39135177.2952789520932617452,5046.78150006,13396.078612388422551631965,185.90871765,38.65678420126572,0.000499396610169491,2.65438054178275,-90.95296566545696,-9.561196199442643,14743619.71814138,6538,8698,79305.69316058,210507.488778036871595223995,10.7933935421016,28.6497737979580800800456274,0.001,0.00265438054178275,93880.9370292,249195.7324946401322568063,0.0598629243752405,0.0390891406627797,0.0378269083276885
