date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-03-21,44,1437,11372557.01574517255366569,19.5084501525735,0.02465121796373510636778784678,15,0.01895426169501465,10612.596883,13.41026257227191808195573,0,0,0,0,0,680.76441669,231.97776841351362,0.00000307,0.00126361744633431,,105.04147747152783,8999999999,544,60,13220432.470282,16705.56911753293451891197542,220341.041171367,278.4267837676058303426817018,24430.827783,30.87122021498777225413473,13220462.470282,16705.60702605632454821197542,0.107342735993943,0.127361704893177,0.105753988041574
2016-03-22,51,1439,11274777.59015425693428811,18.7389769573284,0.02347531083159761761769851468,15,0.01879129598567835,10100.30858,12.6531925382311063750162,0,0,0,0,0,960.68990337,232.56474238162943,0.00000300722092343659,0.00125275306571189,,83.20494261222873,8999999999,539,54,9368267.499683,11736.12583063694072874433087,173486.435179315,217.3356635303139491902775554,35606.5104125,44.606165078561708010054625,9368267.499683,11736.12583063694072874433087,0.106817781126879,0.12698935722226,0.105798775739852
2016-03-23,54,1430,11784300.37718737329127814,16.6551848636364,0.0218077445880537337226357717,14.5,0.01898581727646697,9160.351675,11.9942595234295273601155,0,0,0,0,0,1074.19636715,233.35406183148882,0.00000313712215078901,0.00130936670872186,,98.91555593709982,8999999999,550,63,8378356.392033,10970.34093353500698251694138,132989.784000524,174.1323957703971856336102546,2000,2.61873341744372,8378356.392033,10970.34093353500698251694138,0.106815737069261,0.12681769285836,0.104753582698101
2016-03-24,33,1422,11256852.06993227865875744,18.4126801912879,0.02302986857192557002827269302,15,0.0187614201186384,9721.895141,12.15977060597668696640096,0,0,0,0,0,810.60285932,233.0248322759743,0.00000302437521917008,0.00125076134124256,,93.36182558420147,8999999999,528,42,11102847.585039,13887.01253707509788752605984,264353.5139295,330.64315564464518779823952,65624.9326635,82.08112879715194542035856,11102847.585039,13887.01253707509788752605984,0.106902672456261,0.127354568261264,0.104228213738919
2016-03-25,33,1435,11173102.95743028411570314,17.6480456806883,0.02190927015663027404572632874,15,0.0186218382644529,9229.927891,11.45854829191765703772226,0,0,0,0,0,887.99498075,232.54341394065762,0.00000298159380479252,0.00124145588429686,,93.46680688318834,8999999999,523,42,10135192.421206,12582.39426978712829826321316,241314.10526681,299.5808159473131696995452166,24110.8225365,29.93252251317526854418539,10135192.421206,12582.39426978712829826321316,0.106897346715355,0.12725249242195,0.10409564666107
2016-03-26,75,1436,13401269.87856806001332699,39.8606816485062,0.05935375026385228126317435766,16,0.02382447978676816,22680.727858,33.77228390013190664371258,0,0,0,0,0,77.7947546,225.66277286818573,0.00000357233080070134,0.00148902998667301,,136.179554530575,8999999999,569,240,115689033.863437,172264.4405518869987023137354,482037.641097654,717.7685022995289130879761185,176952.165685,263.48708091169580743766185,115689033.863437,172264.4405518869987023137354,0.107495630443702,0.130614790412462,0.106231286318556
2016-03-27,77,1428,13071186.33809802596227218,29.8663210430906,0.04337647195900798964833440049,16,0.02323766460364512,20100.034062,29.19236562841241508500484,0,0,0,0,0,163.34101073,222.71585127160694,0.00000341364932787843,0.00145235403772782,,123.70144030661596,8999999999,673,185,55099450.890195,80023.9099769604343141167249,297834.86967673,432.5616755511378753071276286,138100,200.570092610211942,55099450.890195,80023.9099769604343141167249,0.107532160559444,0.130786319273321,0.105773093959197
2016-03-28,51,1418,14149886.16402270042604501,22.2341088637931,0.03495667882401301653518007257,15,0.02358314360932485,12895.783141,20.27487371792755273482359,0,0,0,0,0,323.68254578,221.18491184987744,0.00000371753302162478,0.00157220957395499,,144.95524501026665,8999999999,580,89,27805021.050377,43715.32029942275171192053123,312749.674723337,491.7080328513393697691406016,50907.19685,80.0367822707813089697815,27834721.050377,43762.01492376921491492053123,0.106996027919628,0.131086587178041,0.105690039743392
2016-03-29,57,1434,13656992.44010899639537484,22.7464522289562,0.03451645846274130136159905799,15,0.0227616540693774,13511.392624,20.50277632686835910881984,0,0,0,0,0,286.99977193,219.43784605188804,0.00000364889538281707,0.00151744360462516,,133.57741504646117,8999999999,594,108,31358909.93341,47585.3773264694065436105956,290360.277161204,440.6053456154579176093142926,62314.823943,94.55923106564814590820588,31358909.93341,47585.3773264694065436105956,0.106103776078967,0.131383139201412,0.10564448159613
2016-03-30,47,1424,13355392.01273557755397561,20.5298358232143,0.03046488948962154247690599678,15,0.02225898669036585,11496.708061,17.06033811418805191560779,0,0,0,0,0,273.42003256,217.57545006990574,0.0000035949918176505,0.00148393244602439,,132.08901077823685,8999999999,560,72,32916388.44027,48845.6968124588167144781853,457172.200559306,678.4126618303239506141174733,95000,140.97358237231705,32916398.44027,48845.7116517832769583781853,0.105305739835726,0.131242438738978,0.105771671496606
