date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2013-01-01,0,4164,,,,,,,,,,,,,,99999999999.99632,0,0,0,,,,,,0,,,,
2013-01-02,10,4703,,0.00001,,0.00001,,0.00018,,9940.35785288,,,,,,99999999999.99614,18,3,10060000,,3353333.33333333,,50000,,10060000,,,,
2013-01-03,8,4780,,0.00001,,0.00001,,0.0001,,2421307.50605317,,,,,,99999999999.99604,10,6,41300,,6883.33333333333,,10000,,41300,,,,
2013-01-04,9,4024,,0.00001,,0.00001,,0.00019,,142628.3011564,,,,,,99999999999.99585,19,6,701123.123456,,116853.853909333,,10000,,701123.123456,,,,
2013-01-05,12,3201,,0.00001,,0.00001,,0.00025,,9344047.84152454,,,,,,99999999999.9956,25,5,10702,,2140.4,,200,,10702,,,,
2013-01-06,9,4360,,0.00001,,0.00001,,0.00039,,9174311.92660507,,,,,,99999999999.99521,39,6,10900,,1825,,300,,10950,,,,
2013-01-07,9,2819,,0.00001,,0.00001,,0.00017,,8695652.17391261,,,,,,99999999999.99504,17,3,11500,,3833.33333333333,,1000,,11500,,,,
2013-01-08,16,3327,,0.00001,,0.00001,,0.00093,,552950.5441033,,,,,,99999999999.99411,93,15,180848,,12056.5333333333,,200,,180848,,,,
2013-01-09,21,4324,,0.00001,,0.00001,,0.00049,,104056.973274,,,,,,99999999999.99362,49,14,961012,,68643.7142857143,,10000,,961012,,,,
2013-01-10,24,4447,,0.00001,,0.00001,,0.00091,,139684.31345159,,,,,,99999999999.99271,91,23,715900,,31126.0869565217,,10000,,715900,,,,
2013-01-11,14,4428,,0.00001,,0.00001,,0.00021,,3447562.57326045,,,,,,99999999999.9925,21,5,29006,,5801.2,,9000,,29006,,,,
2013-01-12,7,4472,,0.00001,,0.00001,,0.00032,,9089256.49881769,,,,,,99999999999.99218,32,6,11002,,1833.66666666667,,200,,11002,,,,
2013-01-13,6,4496,,0.00001,,0.00001,,0.00026,,22727272.72727089,,,,,,99999999999.99192,26,10,4400,,520,,200,,5200,,,,
2013-01-14,11,4330,,0.00001,,0.00001,,0.00016,,1424501.42450131,,,,,,99999999999.99176,16,4,70200,,17550,,10000,,70200,,,,
2013-01-15,22,4592,,0.00001,,0.00001,,0.0008,,3016500.25640225,,,,,,99999999999.99096,80,15,33151,,2210.06666666667,,100,,33151,,,,
2013-01-16,23,4589,,0.00001,,0.00001,,0.00063,,4645086.80111082,,,,,,99999999999.99033,63,20,21528.123,,1076.40615,,21.5,,21528.123,,,,
2013-01-17,19,4489,,0.00001,,0.00001,,0.0012,,1105703.94705244,,,,,,99999999999.98913,120,28,90440.12212,,3230.00436142857,,40,,90440.12212,,,,
2013-01-18,21,5007,,0.00001,,0.00001,,0.00089,,1694628.0291474,,,,,,99999999999.98824,89,13,59010,,4539.23076923077,,1000,,59010,,,,
2013-01-19,14,4643,,0.00001,,0.00001,,0.00033,,1960784.31372525,,,,,,99999999999.98791,33,6,51000,,8500,,10000,,51000,,,,
2013-01-20,6,4475,,0.00001,,0.00001,,0.00019,,98039215.68626247,,,,,,99999999999.98772,19,3,1020,,340,,10,,1020,,,,
2013-01-21,12,4626,,0.00001,,0.00001,,0.00037,,4761678.015332,,,,,,99999999999.98735,37,4,21001,,5250.25,,5500,,21001,,,,
2013-01-22,27,4251,,0.00001,,0.00001,,0.00054,,169198.15303294,,,,,,99999999999.98681,54,17,591023,,34766.0588235294,,10000,,591023,,,,
2013-01-23,30,4529,,0.00001,,0.00001,,0.00123,,990707.1667755,,,,,,99999999999.98558,123,12,100938,,8411.5,,5250,,100938,,,,
2013-01-24,19,4805,,0.00001,,0.00001,,0.00046,,1652619.40175153,,,,,,99999999999.98512,46,9,60510,,6723.33333333333,,10000,,60510,,,,
2013-01-25,19,4080,,0.00001,,0.00001,,0.00044,,2226576.41610226,,,,,,99999999999.98468,44,13,44912,,3454.76923076923,,1000,,44912,,,,
2013-01-26,36,4303,,0.00001,,0.00001,,0.00046,,1.16536424,,,,,,99999999999.98422,46,29,85810081001.4142,,2958968310.39359,,1000000000,,85810081001.41421,,,,
2013-01-27,16,4220,,0.00001,,0.00001,,0.0003,,3310929.37787584,,,,,,99999999999.98392,30,8,30203,,3775.375,,100,,30203,,,,
2013-01-28,14,4250,,0.00001,,0.00001,,0.0004,,7062146.8926542,,,,,,99999999999.98352,40,8,14160,,1770,,375,,14160,,,,
2013-01-29,12,4361,,0.00001,,0.00001,,0.00076,,7137249.30411696,,,,,,99999999999.98276,76,5,14011,,2802.2,,2000,,14011,,,,
2013-01-30,20,4037,,0.00001,,0.00001,,0.00064,,3173018.27715585,,,,,,99999999999.98212,64,16,31515.734,,1986.608375,,67.5,,31785.734,,,,
2013-01-31,25,4288,,0.00001,,0.00001,,0.00056,,1073825.50335551,,,,,,99999999999.98156,56,14,93125,,6651.78571428571,,250,,93125,,,,
2013-02-01,14,4025,,0.00001,,0.00001,,0.00022,,4999750.01249844,,,,,,99999999999.98134,22,3,20001,,6667,,10000,,20001,,,,
2013-02-02,8,4237,,0.00001,,0.00001,,0.00039,,9981813.13646346,,,,,,99999999999.98095,39,6,10018.22,,1669.70333333333,,2.11,,10018.22,,,,
2013-02-03,4,4379,,0.00001,,0.00001,,0.00006,,3333333.3333327,,,,,,99999999999.98089,6,3,30000,,10000,,10000,,30000,,,,
2013-02-04,13,4493,,0.00001,,0.00001,,0.00009,,3300330.03300267,,,,,,99999999999.9808,9,4,30300,,7575,,10000,,30300,,,,
2013-02-05,8,4554,,0.00001,,0.00001,,0.00015,,3333333.33333269,,,,,,99999999999.98065,15,3,30000,,10000,,10000,,30000,,,,
2013-02-06,17,4191,,0.00001,,0.00001,,0.00015,,16.6665,,,,,,99999999999.9805,15,14,6000060000,,428575714.285714,,500000000,,6000060000,,,,
