date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-08-30,1094,18123,523472884.6578647458207729392,0.0000721951938241886,3.779223406836547003369851757E-7,0.000012,6.281675895555816E-8,15.655239,0.08195094788788778110002,7013.65374065,98.9682329873982,0.0000103986117140912,0.00523472991296318,,,99999979628.661836,216846,739,14257900.849749,74636.26007424423293254924182,19349.2110280771,101.2878937609122402902385012,44.1144,0.230926969272422907792,14299066.949749,74851.75348931426649674724182,,,
2014-08-31,1089,17681,474279108.4589243761563459732,0.0000261575706872489,1.240599183310797310211260006E-7,0.000015,7.11418807662186E-8,6.784803,0.03217890973655215039572,6975.20792683,99.04591391219189,0.0000099,0.00474279205108124,,,99999979621.877033,259382,721,14336487.266175,67994.977846442207400429057,21490.699398301,101.9259182784383701244689732,100,0.474279205108124,15494794.266175,73488.587078753965261109057,,,
2014-09-01,1387,17796,443150660.1607967840223689481,0.0000301991461617979,1.338277428604438125405062408E-7,0.000015,6.647261257492275E-8,7.420353,0.03288335000921105018205,1687.48026293,99.06911293024282,0.00000933850379894798,0.00443150750499485,,,99999979614.45668,245714,1240,59259940.285502,262610.8701207487670000396647,55320.0195850823,245.1510819677543003917983262,99.949,0.44292474361673026265,68596824.285502,303987.3416400151020474396647,,,
2014-09-02,1321,18433,448582495.6516664157095778834,0.000127553315663259,5.721819634756596512266498574E-7,0.000012,5.382991046531988E-8,25.265123,0.11333494241544116687877,2301.59803392,99.12219248549391,0.00000945517680352639,0.00448582587210999,,,99999979589.191557,198075,1893,43448064.395099,194900.451356635976804144939,26321.5081326461,118.0737021743773858794089445,1000,4.48582587210999,49826614.895099,223513.518216096089573639939,,,
2014-09-03,1840,18057,446060189.4622439003168942621,0.00168287778115502,0.000007506649380299191250999876357,0.000015,6.690904233533025E-8,387.566753,1.72878135228289881167855,3816.86795653,99.14539867176947,0.00000939152507492021,0.00446060282235535,,,99999979201.624804,230300,1055,26199486.160008,116865.5019095916157495348428,24883.9897251261,110.9975947993590117146777596,40.55,0.1808774444465094425,26252609.160008,117102.4625133235990075848428,,,
2014-09-04,1795,18311,489040303.1357019757901691093,0.0000211604959211253,1.034833749245518468693499837E-7,0.000012,5.868484858404888E-8,3.867525,0.0189137599183353037185,1623.61040402,103.4852241411802,0.00000998947925189947,0.00489040404867074,,,99999979197.757279,182771,1059,61591117.51806,301205.4504724759632709435644,78677.9218395279,384.7668275050272778635841436,1000,4.89040404867074,83319919.22806,407468.0703278236618099089644,,,
2014-09-05,1331,18414,498863015.8307869801836442307,0.0000207500291111235,1.035142425470434752630425482E-7,0.000012,5.9863574355114E-8,4.098525,0.0204460296736494672375,1398.49073185,103.42199973035272,0.0000104201221069936,0.0049886311962595,,,99999979193.658754,197519,871,71505643.130857,356715.2820311920548074293915,94495.3955463341,471.402678125323309842857299,100,0.49886311962595,82305489.520857,410591.7326471565973856343915,,,
2014-09-06,1038,18618,504431864.1384558126680774383,0.0000846860276544896,4.271833969029234875403298595E-7,0.000012,6.053183629948332E-8,13.890541,0.07006832949360511127301,1048.722907,103.33184100401698,0.0000104949516064372,0.00504431969162361,,,99999979179.768213,164024,582,95354052.545385,480996.3249307979673838625398,164031.250077981,827.4260648099963716850007314,1000,5.04431969162361,95466187.545385,481561.9697194181808912125398,,,
2014-09-07,979,18374,500585199.3342771314530909688,0.0000179018769037807,8.961416484410945387743382871E-8,0.000012,6.007023642879624E-8,3.197132,0.01600437292783918169864,1450.44113638,103.32932718389242,0.0000104583420183489,0.00500585303573302,,,99999979176.571081,178592,1718,68944527.749737,345126.1735332003996329072157,40288.4463036886,201.6780412342863469144308176,0.5,0.00250292651786651,69215550.749737,346482.8748405038699123672157,,,
2014-09-08,1251,17761,476941427.5412271612757504802,0.0000213903169852762,1.020193044350882902770666888E-7,0.000015,7.15412290327293E-8,5.882273,0.02805500266173597851326,1128.12588162,816.2146432601858,0.0000101456829585286,0.00476941526884862,,,99999979170.688808,274997,1813,88642571.542858,422773.234186513120618644156,65925.9042486806,314.4280143363093633589161308,0.5,0.00238470763442431,119523664.402858,570057.989991729220121497356,,,
