date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-06-03,122,378116676.46845953,0,0,81.03038725,26.898203048157022,0.00004907807467045835,0.37811667646845953,,-41.92519169489638,1000000000,186,186,12341049.251808,4666356.52722721008241682733,82144.4641320997,31060.19176791212052402248338,3782.06125,1430.0604300501476356062125,15278870.328570545545192268,5777195.668831654926107811495,,0.07646559698189702,
2018-06-04,161,347714406.0701713,0,0,217.70784477,26.86132786742092,0.00004644321470111894,0.3477144060701713,,-42.38105822905835,1000000000,288,288,4593311.74334059,1597160.664730816363875015543,23714.5154473604,8245.878654020824131733760837,7356.56438475,2557.983415760321394911607675,6829780.448839797342580825,2374813.052357998094945542143,,0.07564713176442173,
2018-06-05,178,342814618.3318487,0,0,90.70920817,26.773236274497023,0.00004502220142225154,0.3428146183318487,,-36.84975635311555,1000000000,220,220,11024239.1063401,3779270.321639022175509923943,60926.9109238285,20886.63571449081051010128675,2494.5,855.15106542879658215,13403920.403242259991062333,4595059.857187974881012136865,,0.0637042669924916,
2018-06-06,169,330667976.0025058,0,0,233.40357205,26.739156354727,0.00004321380145407484,0.3306679760025058,,-49.975124424360374,1000000000,189,189,4284424.57500515,1416722.002552349051176447905,26883.9872655215,8889.673655967134884773943775,7420.6,2453.75478272419453948,5081073.593183555098010307,1680148.320977785714953349195,,0.06270407229698013,
2018-06-07,152,314766219.7838669,0,0,223.71947715,26.70369357850931,0.000041052584284943994,0.3147662197838669,,-48.25917049408944,1000000000,218,218,4469883.50198316,1406968.332793511998932723481,28093.8102908813,8842.982464585804960705922899,1821.2255,573.26026600898288688595,6124450.643412124871094678,1927770.17727970594448480193,,0.06286519691430852,
2018-06-08,179,290048077.0605616,0,0,205.89557457,26.665267350391588,0.00003804943236382314,0.2900480770605616,,-50.57150913535886,1000000000,259,259,4856830.95468577,1408714.479014819181309587728,31412.4321795419,9111.115549471433988610844731,2052.334,595.2755301860106307744,8135819.934501352898803636,2359778.927313101634741667356,,0.06358315109419271,
2018-06-09,125,268888037.0021784,0,0,89.24657269,26.577036910308497,0.000035587797389966756,0.2688880370021784,,-51.627022651942326,1000000000,167,167,11204912.0750967,3012866.812654757028642290651,76818.1653382474,20655.48568391012509772663814,2370,637.264647695162808,12828633.61148731550026,3449466.109212990810723848358,,0.05946140846267367,
2018-06-10,206,212654762.96073502,0,0,86.13168945,26.486229514244,0.00003154931110197876,0.21265476296073502,,-55.453955392827936,1000000000,296,296,11610128.7033891,2468949.167362834885947301056,51576.6731285653,10968.02519845836536266424607,10613.3885,2256.98761567769101281527,15266695.246055329550155488,3246535.45874367630687275432,,0.06971556826448148,
2018-06-11,200,218944406.89958572,0,0,77.8617409,31.44021830552209,0.000031984567118027036,0.21894440689958572,,-56.735333920831046,1000000000,301,303,12843278.2064651,2811963.929560876351753815638,54134.1994632569,11852.38019446665359667897193,5534.01626997,1211.641910001239298532676828,16402662.437366833450559464,3591271.198923394452569269987,,0.06934453715272693,
2018-06-12,1159,249738429.535172,0,0,15.42700973,53.60464972682332,0.00003828233831386971,0.249738429535172,,-52.599205376507804,1000000000,2481,2479,64821376.1073137,16188388.66934924434228058746,29157.3416514999,7281.708713466043365973604483,6671,1666.005063429132412,72281049.954068346981020027,18051355.90068234519968549975,,0.07555242715846645,
2018-06-13,360,209787609.1859051,0,0,75.75510448,54.748573629393626,0.00003327714828434452,0.2097876091859051,,-58.69349491407304,1000000000,406,406,13200430.6099052,2769286.777876450997244287197,38493.1212726886,8075.379881900445955068701452,17582.644,3688.6208479268991910844,15628207.236711577433921142,3278604.232051582281642261349,,0.0804876779168371,
2018-06-14,145,248494241.20336053,0,0,205.68513356,57.70156250246282,0.00003750681168258024,0.24849424120336053,,-50.19443003642806,1000000000,168,168,4861800.08588168,1208129.323223601129623823962,35140.5878925225,8732.233723792376791257458637,3820.04337309378,949.2587793608647278963188405,5903618.765943787922639605,1467015.265597121269661570023,,0.08832508126042733,
2018-06-15,95,223685030.1934119,0,0,286.683655,58.14877427791159,0.0000349674625169774,0.2236850301934119,,-55.71843461461717,1000000000,94,94,3488165.37868411,780250.3780505691992788132149,54884.7057390212,12276.88706038948451056099443,4152.1563,928.77520733326543907997,5159162.339467991293630438,1154027.383676611207040412518,,0.08953884292097052,
2018-06-16,76,217045079.53769495,0,0,806.84392792,58.31381936724258,0.000033417257119175894,0.21704507953769495,,-55.153738211105505,1000000000,80,80,1239397.06973812,269005.0355800963101544649465,24805.6393929765,5383.941975031963520768029519,1747,379.17775395235307765,1984451.151438119491353817,430715.3580025569712622911157,,0.08942108713698978,
2018-06-17,71,216940973.08721894,0,0,1435.41514256,58.821886496931,0.00003363747146335918,0.21694097308721894,,-55.058241545338745,1000000000,75,75,696662.568444758,151134.6555118470680269632413,11169.9317620364,2423.215865774010685574347049,2990.37068563711,648.7339264336087297163719589,837744.882152732153109056,181741.1899330512685156498002,,0.0895621270851869,
2018-06-18,146,206336879.08489176,0,0,53.06621959,58.36134673301285,0.00003077472419828504,0.20633687908489176,,-56.16432408656833,1000000000,287,287,18844379.8667122,3888290.529987563912217564071,79415.2661490401,16386.2981688889847941083364,17984.279,3710.82000145195809664104,22792181.384774512634016234,4702867.57447113944764172454,,0.08752994045730747,
2018-06-19,156,199160001.82280416,0,0,103.3407949,58.4579921768919,0.000029583762815738934,0.19916000182280416,,-60.697766261812944,1000000000,229,229,9676720.61151031,1927215.694627159925418736951,56961.9480385232,11344.54167518275635832392922,6263.8,1247.498419417680697408,13044286.100821822697320149,2597900.043616853177206478706,,0.08743323702357442,
2018-06-20,164,189409390.55098127,0,0,229.12326578,60.419459031495805,0.000028044256662336114,0.18940939055098127,,-60.589379013555856,1000000000,244,244,4364462.93049942,826670.2637482448658682921659,26504.9368029621,5020.28392644132529508479762,6276.004770295,1188.734238636627148913197375,6467204.579922758260280907,1224949.278051684481992925672,,0.08696518533225417,
2018-06-21,161,177451751.71285163,0,0,146.31457278,60.67929012213599,0.000026408241559339953,0.17745175171285163,,-59.930306506693576,1000000000,269,269,6834589.20732213,1212809.827077062046369618306,30488.9073816474,5410.310022684223718523781175,5137.947,911.73769535779089380361,8201516.085663142489585216,1455373.396102054741075586598,,0.08468296376510917,
