date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-10-09,9249,548,1620083,2956.35583941606,2.12301549,78721400.70095186546778209622,37079993.62509852249471934125,38308.189852635,0.011556459075,0.133780085533450986942585,0.00015022,0.001738979415616111396,13.86775089,160.536102640141184331102,2126.2959234,11.4127536176,24614.46440088571402393212,2126.2959234,24614.46440088571402393212,221.60279507,114.5255676594537,0.0187590311414378,11.5762176515518,378.649378017266,3.5972685068064356,6800269.57599568,1200,7689,30686.75001915,355236.49724044176667721697,6.34164253085187,73.41223420547904790888143187,0.100001,1.1576333413728315518,48760.88941972,564466.668805928070259521496,0.0333328465926367,0.0264266929996074,0.0407401112974569
2016-10-10,9701,549,2072421,3774.90163934426,2.13234858,79208274.29922529219072135696,37146025.27906766728148538486,38848.4522410961,0.013025851984556,0.1516752988596059182939569108,0.00049253,0.005735105468409641979,16.86847832,196.419512023189431307176,2130.17602545,11.4300077786317,24804.142229373665935645935,2130.17602545,24804.142229373665935645935,157.61242091,115.09948011157474,0.0188391097375804,11.6441749099743,389.257182172266,1.4578254163550486,6802394.75202113,1295,7935,43159.00176322,502550.965470822898464885246,10.2488339586528,119.339215237837516128510623,0.100001,1.1644291351723399743,81324.49746191,946956.672912241063093328913,0.0333053362187055,0.0258220966330201,0.0366145249725102
2016-10-11,9819,544,1839343,3381.14522058824,2.15902233,80264491.07066922657736278074,37176313.46735923039573711522,39828.532720777,0.0118161929992521,0.1393812840095030234331791112,0.0003,0.00353873580141231,15.79825004,186.352776720704861713308,2110.7755152,11.3223960202579,24898.25628127584509290704,2110.7755152,24898.25628127584509290704,176.58940859,115.50258067313642,0.018345454842782,11.7957860047077,408.00380141465047,5.82925100834265,6804505.52753633,1337,8429,38532.91984996,454526.076686681695337656692,7.1714844601566,84.59329602809397748067922582,0.100001,1.1795903962567747077,60448.44251466,713036.892220804355586264882,0.0329665955940118,0.0175868404521969,0.0366388911189481
2016-10-12,11165,551,2024995,3675.12704174229,2.0883568,77742106.33858382774424000011,37226448.27971136964177788591,36727.1139752773,0.0117066573271561,0.1337076348484990493011661896,0.00025284,0.002887813100727972816,16.42444023,187.591811692444071371052,2137.93622955,11.4644865408304,24418.44744587666730918342,2137.93622955,24418.44744587666730918342,251.11897108,116.16053837812156,0.017941472220339,11.4215041161524,385.4371927929148,-7.361077651822791,6806643.46376588,1403,9318,27105.2538739,309582.76869010463566278236,4.81355081262932,54.97799041975450830612582837,0.100001,1.1421618331193561524,44852.66647208,512284.914731272465451624992,0.0329385131916983,0.0171705290391706,0.0336796524788334
2016-10-13,9627,551,1646688,2988.5444646098,2.08500064,77689522.39777509962226062327,37261150.40358483141531098656,38083.7735715134,0.0111324640392478,0.1270235837385157220031050724,0.0002,0.00228203896802524,13.61500352,155.349842912204050244224,2137.93622955,11.4608867276349,24394.26893493027307416921,2137.93622955,24394.26893493027307416921,173.77488699,116.22243097153017,0.0179562528381064,11.4101948401262,392.4698409234624,-10.469313918885605,6808781.39999543,1223,8348,39181.61891955,447069.90602364050542964721,7.98143359031025,91.06971236896794546820715355,0.100001,1.1410308942074601262,66629.00761191,760249.958856144785305023042,0.032934657668782,0.0171783378439579,0.0319884503368631
2016-10-14,10010,552,2038911,3693.67934782609,2.09787929,78283239.14824335315451818444,37315416.32505914191298494097,38929.7624019808,0.0110699810060976,0.1272359037009058573770636667,0.0002,0.00229875559191694,14.52381508,166.933505655587896397276,2141.8163316,11.4780762637284,24617.56134562263521348652,2141.8163316,24617.56134562263521348652,160.0212792,116.26938717498301,0.0179706502907656,11.4937779595847,412.34066895779324,-9.48769846546657,6810923.21632703,1312,8617,42562.60948729,489205.182827424450408328463,7.76368288152605,89.23404718888914715516023144,0.100001,1.1493892897364295847,66899.65539011,768929.784626658093092087317,0.0328825272572662,0.0159411555478328,0.0318477577226363
2016-10-15,12724,535,2327616,4350.68411214953,2.00985235,75076170.67143383839053228307,37354072.6564254756095141056,36061.7380623647,0.0112178470899108,0.1236156050985630050900506616,0.00016103,0.001774477823549998499,16.34440321,180.107936628605906120293,2075.85459675,11.1211952317354,22874.979487345213858316775,2075.85459675,22874.979487345213858316775,153.13069768,116.8604468071238,0.0172914308506721,11.0195480565733,372.02765215919317,-9.836133893322037,6812999.07092378,1457,10535,44491.39966031,490275.116660995040282615723,6.63631775858472,73.12922245941512955830093998,0.100001,1.1019658252053865733,69913.60758669,770416.358609938112204089377,0.033005451106039,0.0162072484013283,0.0321432863702879
2016-10-16,10310,557,1784726,3204.17594254937,1.98527316,74145505.8099240754790118044,37347760.12766425239236919728,36938.7633235358,0.0116626030359937,0.126883237466394667031698231,0.0002,0.0021758991037387,14.90480668,162.15677748205294367258,2161.21684185,11.5748436422157,23512.948945831993708122975,2161.21684185,23512.948945831993708122975,127.23517598,116.57632860577489,0.0169221882255991,10.8794955186935,346.36250313416997,-7.4402445767737,6815160.28776563,1278,8835,53563.49166364,582743.76752014802503425434,8.33235641050934,90.65183422829342179782634729,0.100001,1.0879604313648686935,73616.36888685,800908.955406972175961330475,0.0330058100356887,0.0162816450087684,0.0294934275770056
2016-10-17,9335,543,2557584,4710.09944751381,1.93733561,72416437.08570217034531457315,37379397.07950824181240754024,41833.971034121,0.0130017576175299,0.1381113029269438332756373958,0.00062716,0.0066620134978426043,16.31720581,173.329685173314250509425,2106.89541315,11.2804349478777,22380.518019242251451496375,2106.89541315,22380.518019242251451496375,183.50827971,116.92969783363021,0.0166200693828171,10.6225102012925,343.74617187276357,-9.956736877494405,6817262.18317878,1255,7965,37149.61632122,394622.17834626180553917685,6.68262666366353,70.98626990619511175579111252,0.100001,1.0622616426394512925,53227.12137608,565405.6398028438903945834,0.0330124630865792,0.0166583091756797,0.0295934883471094
2016-10-18,8924,553,1767002,3195.30198915009,1.84955351,69225128.85001278661499386273,37428021.58126810887774044684,37678.0184813578,0.0149280095004234,0.1515372239159678677230913663,0.001,0.0101512009294789,17.62997922,178.965461444757692428458,2145.69643365,11.4845714809382,21781.395631647440882924985,2145.69643365,21781.395631647440882924985,167.75659469,116.84584136488166,0.0159716427405026,10.1512009294789,331.18610037550275,-12.871388863946926,6819402.87961243,1181,6873,40650.58003961,412652.205881945451578659229,10.5938113980416,107.5399081105240549791685222,0.100001,1.0151302441488194789,72811.26573874,739121.788443632674451742586,0.0331880815773824,0.0183944587751176,0.0296669593524661
