date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-12-03,42489,16266,15501921697.23003715840496729,0.0000406463382009869,0.000006029455463301892140175300833,0.00001,0.00000148339450247341,7.7184551,1.1449513862927854028891,,,,,,2337.56501843,1605.9878776374396,0.0000383962033776134,0.148339450247341,65.8042272919035,-37.05633805468443,104503027828.2827242,189893,6827,44705934.1684346,6631653.697339406388124782399,6550.57555565177,971.7087767290538618369644436,24,3.560146805936184,44720779.3184346,6633855.818729245702370932399,0.0572254746941034,0.0694062745390226,0.0558404481910333
2018-12-04,72630,16251,15265543417.22008298499286941,0.0000415632463618455,0.00000607029832951251359738854118,0.00001,0.00000146049667936549,7.4057808,1.0816118266508702024592,19930384.8185583,6.95980150749049,2910826.084598077106522057307,19930384.8185583,2910826.084598077106522057307,1483.47434309,1597.348124742719,0.0000373147884578776,0.146049667936549,52.001917852449964,-40.114787526275585,104522958750.2531621,178181,39606,70458218.0590597,10290399.35092662918311420298,1781.13649205125,260.1343932137548099278561362,0.01046905,0.00152900127611112830845,70543691.904182,10302882.77762400111656374792,0.0572268737188034,0.0692056920170939,0.0558035645268086
2018-12-05,1192130,16238,13878835200.61949563464669792,0.0000818122574110734,0.00001086324814734732666871266092,0.00001,0.00000132782647626552,19.5476481,2.5955884695901387123512,,,,,,1328.90265138,1591.577260742669,0.0000356457149224163,0.132782647626552,8.69348434593796,-46.11714013602024,104522958750.2531621,238933,17612,78653585.8299075,10443831.37181737112405270394,4466.58210431773,593.084597652684269055792367,0.23233065,0.0308494788317977834188,78665444.0212438,10445405.93385906727873694538,0.0576194311102842,0.0681147204377144,0.0568504178250119
2018-12-06,99711,16275,12507824774.67510573297246887,0.0000332436927805658,0.000003978133504199542705027579704,0.00001,0.00000119665812413149,8.0684437,0.9655168702702538462113,,,,,,1044.59936271,1571.7215131002595,0.0000336997116590406,0.119665812413149,-14.21104459174273,-55.06057281188561,104522958750.2531621,242706,10766,100060331.722651,11973800.885920216698493538,9302.41755086485,1113.181353630578086230461913,1,0.119665812413149,100149827.352611,11984510.45318680665603588204,0.0570797492147049,0.0696747187055036,0.0579849095081446
2018-12-07,85297,16184,12007116496.13247988133541975,0.0000336244709896166,0.000003862624490546921284646144619,0.00001,0.00000114875398091459,7.9435459,0.9125179975202769644681,,,,,,1097.38796737,1552.5773988992057,0.0000338087791075686,0.114875398091459,-13.268416824972176,-55.121420532412735,104522958750.2531621,236243,8234,95247042.849417,10941541.9643610312349308294,11586.4952514947,1331.003254500253026597053767,160.995,18.494364715734441705,95403201.900807,10959480.79755504208883190741,0.0570918452262523,0.0695209157219549,0.0581023219147031
2018-12-08,53070,16186,12412645366.47197239127929177,0.0000379877152698048,0.00000451123890449051288978193913,0.00001,0.00000118755204740527,7.5439044,0.8958779115649624936188,,,,,,1538.37294121,1545.5885784309087,0.0000340488655624683,0.118755204740527,-12.026234733912533,-53.66201506309397,104522958750.2531621,198588,7635,67943835.9515872,8068684.149287517065509814454,8937.20209843971,1061.339265007675301102103127,83.4028357,9.9045208294940345124139,68235538.0215872,8103325.288333602604300704454,0.0567195121930439,0.0703124208148981,0.0583946787887926
2018-12-09,40313,16240,12741136716.38047663510662662,0.0000392318439246444,0.000004782282218722443210975244428,0.00001,0.0000012189797216537,7.3428673,0.895080633749405565401,,,,,,2517.53187069,1543.214306454237,0.000034143447467824,0.12189797216537,-7.564440265534122,-52.245164867503256,104522958750.2531621,187166,7633,41518028.0206177,5060963.424018308111073949049,5448.55834628034,664.1682136362752831948598258,1,0.12189797216537,41588845.8571578,5069595.974685684943379785386,0.056718283756279,0.0702457377851616,0.0556253051979064
2018-12-10,32064,16286,12079522841.40094730619742529,0.0000423831874169611,0.000004898145695606026826436069312,0.00001,0.00000115568129584465,7.3051238,0.844239493948959381767,,,,,,1870.70634615,1543.519971272196,0.0000337428277226487,0.115568129584465,1.2664480369257551,-55.99973856736769,104522958750.2531621,172359,5114,55873525.5084103,6457198.83629687222160172599,10949.5607437251,1265.420254923793317419190572,74.0207459,8.5544391541099563524435,55996053.6434103,6471359.18368029504302450099,0.0563721245655023,0.0691944208417106,0.0556675816485574
2018-12-11,78581,16364,11600597482.98909241501926647,0.0000436275800783154,0.00000484113246563097027364733001,0.00001,0.0000011096495512565,7.6096534,0.84440484805274994971,19929675.8771933,6.95822686122768,2211495.589381503834770838145,19929675.8771933,2211495.589381503834770838145,1328.65304257,1534.5157572742644,0.000032931037299502,0.11096495512565,-22.170371531644072,-59.43986809297763,104542893473.4689691,174423,51462,78683365.8779089,8731096.163777261505158753285,1530.14950838124,169.792971533059705172302806,0.01,0.0011096495512565,78744554.0003153,8737885.901034310460451117445,0.0563551064512543,0.0692064795229765,0.0557956673143605
2018-12-12,1215434,16340,11723356568.88447367895800307,0.0000883648814297967,0.000009909167220740883810962905122,0.00001,0.00000112139201234751,19.0598631,2.1373578236777050225881,,,,,,553.47070297,1494.942469488818,0.0000326451194261333,0.112139201234751,-27.984350864756447,-58.10198496645158,104542893473.4689691,215695,7161,188886047.469388,21181530.48760643080847430239,27188.4255609996,3048.8883252409819941898171,23.4,2.6240573088931734,194696315.4423179,21833089.29705064564039746934,0.0563631138554774,0.0695301317161891,0.0558565214164406
