date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-06,23275,5742,7435101,1294.86259143156,468269660.180102504829604849,86602747.5349948,0.0868493509497415,0.004725094520495686540293178724,0.000226,0.00001229567463607168834,1394.5400282,75.870842715599278738430138,5060015.00166492,21.457985,275293.3544872283127912105104,5060015.00166492,275293.3544872283127912105104,54.51867211,70.52957096697989,0.000018983989187609585,0.05440563998261809,19326.49976077011,3215.7687611827805,8607005823.83937962,16057,33146,157872624.01573086,8589161.145311079763945127607,7771.09176913878,422.7912210636511569862889485,158.435743065,8.61979799757297077326104585,257580607.77987409,14013837.81337578604369252876,0.14025487100917508,0.2832000303964502,0.2175461474576915
2017-06-07,23068,5748,7954556,1383.88239387613,419495508.9073302243609947204,95158845.0763561,0.130976950048267,0.006379910419967488973147519218,0.000226,0.000011008500002338619416,2089.47528412,101.7787109297411834898015419,5065302.37366248,21.46784,246731.7751872089626502564724,5065302.37366248,246731.7751872089626502564724,43.20114403,69.366504406293,0.000018045183810637054,0.048710177001498316,13093.295392271151,2157.1989849868232,8612071126.2130421,15953,33090,199348219.12310663,9710287.038419995363457166633,8308.34857608234,404.7011297311172795793013873,149.78697073,7.29614985677654742483629068,274923254.38256475,13391560.38280267659727421689,0.140582700876442,0.28070359367298964,0.21854327341053448
2017-06-08,24150,5761,7765136,1347.87988196494,527527350.6640027766732963919,103763955.636139,0.075364590248735,0.004613693899698724176253693341,0.000226,0.00001383534121117859286,1236.20537385,75.6784210367581601133329235,5076758.34632386,21.503975,310790.6370269441743504128701,5076758.34632386,310790.6370269441743504128701,34.04420216,68.08177720916753,0.00002189662478082992,0.06121832394326811,17839.68068952517,3317.1054960013635,8617147884.55936596,16403,34120,253116458.53474193,15495365.35395262164434277965,16983.3330225603,1039.691182611499174067941542,165.42893709,10.1272822603661408981931999,579471322.72975663,35474263.15070430247722906714,0.14129241856051133,0.28109295684230523,0.21937857073011538
2017-06-09,28052,5749,8246796,1434.47486519395,431460740.6052271285933957064,115327688.315518,0.0802698009568342,0.004016748771867811406736420625,0.000226,0.0000113091749527358983,1519.26652271,76.0250040051420212886247805,5066183.60232874,21.446305,253514.8526611394299918675921,5066183.60232874,253514.8526611394299918675921,41.23064214,66.97603127553764,0.00001784164582115722,0.05004059713599955,15619.918501653618,2589.2373418326106,8622214068.1616947,18927,39099,209121508.1977988,10464565.14419867704810554779,8295.98806381889,415.1361965466219989620703215,161.04846554,8.058961383458046221630507,324364837.30725493,16231410.14877638103800309222,0.14234296054757511,0.28606711004168256,0.22139848213196264
2017-06-10,24544,5744,8427748,1467.22632311978,307495486.6568559840530717594,83211092.2697852,0.0817193859776292,0.002912662445266078887974838641,0.000226,0.000008055147560828882436,1307.7553338,46.6113371115930573220006068,5061777.45899744,21.41528,180413.1166031055189953543725,5061777.45899744,180413.1166031055189953543725,25.32303236,65.22793714885151,0.00001234204734073641,0.035642245844375586,9966.746676673707,1881.1193091743803,8627275845.62069214,16003,33038,340688892.33226573,12142917.25695461966051163248,13245.6842874636,472.1059357507604919800697037,166.80717931,5.94538249357386072888832566,437610917.48922373,15597435.9053336719394347857,0.14497987940546703,0.2980853209061226,0.2263568374491169
2017-06-11,20144,5806,6995670,1204.90354805374,285964317.2931339658750733128,77378565.2785297,0.0649352207862623,0.002151101979930264906083218809,0.000226,0.00000748667736211177396,888.63849646,29.4378305953456893021140716,5116413.63630556,21.63355,169490.8767527823857515955408,5116413.63630556,169490.8767527823857515955408,42.33822854,64.27250071295099,0.000011160251607247224,0.03312689098279546,9658.902839298657,1653.422001721235,8632392259.2569977,13685,28276,203891200.86502399,6754281.583406901108184750163,9831.70552131526,325.6938369795588237469707567,143.22555344,4.7446172947574252768193824,278001305.32071028,9209318.934434004910697107159,0.14517163381586043,0.2996712661633344,0.22651621091917398
2017-06-12,18853,5770,6348474,1100.2554592721,252335919.8276670726796063103,72083696.9380687,0.0573611922196314,0.001675754307326471245206272402,0.000226,0.000006602381484779678438,762.61705056,22.27915351590545089297693728,5084689.4043202,21.48682,148544.5096413234547772226725,5084689.4043202,148544.5096413234547772226725,77.73753698,63.84287574304374,0.000011050230274693164,0.029214077366281763,8814.91627305637,1381.694343504528,8637476948.6613179,13295,27308,111110761.72861043,3245998.389366123899251465841,5227.61610307685,152.7199812765074753396283425,137.348878,4.012520748063995179911914,142755740.5428227,4170477.248698868479543575552,0.14554995132076431,0.3023564623561763,0.2276491527450494
2017-06-13,18440,5797,6111712,1054.28877005348,313077246.5173689692414891792,73061528.4195995,0.0481459105749129,0.001744083322495221729396803641,0.000226,0.00000818683925960067242,635.62231141,23.0253880235819134388966297,5108482.57830922,21.57442,185054.5386242831359757027375,5108482.57830922,185054.5386242831359757027375,79.7266471,63.38924273648124,0.000013434130625365282,0.03622495247610917,10101.692482841221,1669.0937806259885,8642585431.23962712,13202,26899,108402720.36422511,3926883.393475006345298034815,7457.79451803347,270.1582519923499431549054339,141.01487657,5.1082572021726504813951469,200607214.74058241,7266986.820342224760444776542,0.1462247071705987,0.3023769561851131,0.22831142609620728
2017-06-14,18351,5775,6515561,1128.23567099567,249633067.8616096711013337592,78009837.2505776,0.0413857930911119,0.001194686786975812489744427685,0.000226,0.000006523958916580946758,556.43198811,16.06256385088981348805309313,5089095.5476515,21.479885,146907.3021036876099351078471,5089095.5476515,146907.3021036876099351078471,89.86677805,63.002883961300554,0.00001189123933372297,0.028867074852128083,8074.744868685219,1341.3319341883732,8647674526.78727862,13445,27803,96227713.00591326,2777812.594190797129204273908,7095.4565765022,204.8250761039134791073625313,133.883409445,3.864822401906926965871943935,197274979.1964906,5694751.590917104537074815306,0.14736285319357909,0.22952170563736543,0.2312323813820629
2017-06-15,16732,5764,6024657,1045.22154753643,251878646.0427601876657685834,69040231.93246,0.0475603089500493,0.001384463989414293514073599299,0.000226,0.00000657878109951398876,578.90408054,16.8516956791507783361756404,5079402.03232264,21.426595,147859.6198543235692651166091,5079402.03232264,147859.6198543235692651166091,96.41709606,62.82987432961884,0.000012111213909994159,0.02910965088280526,8112.608090913379,355.3049652551271,8652753928.81960126,12172,25174,89742942.71845412,2612385.731729789853987996205,5777.26735807009,168.1742358500470074990789007,140.009215405,4.0756193808150300580070303,145436928.47205657,4233618.213289086986275803014,0.1473681320250627,0.22893610255841007,0.23002462348044755
