date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-08-14,58094,570,18303913,32112.1280701754,1.23500042,414063306.763636682279111269,335273817.52629995,4639217.82598791,0.000856212960348765,0.1806735386537034736410015079,0.0001,0.0211014720660277,4.12437783,870.30443569488942045891,7125,132.532911985459,1503479.884704473625,7125,1503479.884704473625,46.62218755,53.34426912737622,0.0490271982319842,211.014720660277,,31.446405022364953,1962248.44156848,4817,155600,42088.29624876,8881250.07599907572944250652,1.60929734864672,339.5854304840120251908103414,0.01071812,2.26168109780332811924,250406.66744943,52839492.98331234877310729211,0.0827035063080284,0.0703269211308471,0.0767635843895396
2017-08-15,50707,575,16556748,28794.3443478261,1.2418895,418463402.3485956981867789016,336957034.0262105,4291624.17342689,0.000815013143922773,0.1731730217602969455408213068,0.0001,0.0212478808534045,3.71482991,789.32263318343361928595,7187.5,133.207556774386,1527191.4363384484375,7187.5,1527191.4363384484375,43.09883642,53.24607323159468,0.0511154860908615,212.478808534045,,30.43074132868621,1969435.94156848,4558,146535,45695.80307336,9709389.7920338845071925412,1.42553120931054,302.8951728823998557125673343,0.010803435,2.295500996875000444575,208890.21575632,44384744.1583224673401439144,0.082667615813998,0.0679860753579667,0.0765834904082773
2017-08-16,51556,573,18093834,31577.3717277487,1.26359857,428325694.9693150264766369387,338972917.979689,4515435.67659424,0.000752281302050307,0.1630181450803068724000766269,0.0001,0.0216698387472889,3.55904284,771.23884437493128956476,7162.5,132.263207590383,1552102.2002745674625,7162.5,1552102.2002745674625,55.28868258,53.4797147143802,0.0495519354324125,216.698387472889,,20.063155297047093,1976598.44156848,4731,160698,35750.5071422,7747077.2490527412033678158,1.41591554488438,306.8266153742421335998895738,0.010719485,2.322895114039821542165,227534.79623183,49306423.43740994131348385687,0.0825905033431956,0.065221821397836,0.0765038486362819
2017-08-17,52891,569,18400460,32338.2425307557,1.22364794,414707320.250888198174252555,338910650.4357084,4428242.02705057,0.000708657123875715,0.1481492543398638247260644814,0.0001,0.0209056325476023,3.46675065,724.74615223061429466495,7112.5,130.868991323269,1486913.1149482135875,7112.5,1486913.1149482135875,36.4470319,53.309908971372316,0.0486045445995292,209.056325476023,,4.091457188921753,1983710.94156848,4892,156617,54427.228718,11378356.441628154046028514,5.07171688029154,1060.274494848468165497519745,0.01059706,2.21538242444894429238,794317.08264062,166057010.5596825135513358543,0.082656092904953,0.0626718425199762,0.0758331902504364
2017-08-18,56531,576,26821496,46565.0972222222,1.17839619,400883059.3102949004926564174,340193783.0738215,4413018.45068251,0.000760733356750823,0.1531786826855259562858217887,0.0001,0.0201356600609403,3.46514044,697.72889963257097955732,7200,131.999877298861,1449767.5243877016,7200,1449767.5243877016,20.02955824,52.47861908855181,0.0490820231489964,201.356600609403,,10.77165831259728,1990910.94156848,4555,154517,99398.64460465,20014573.18277450040800752395,4.80843692836063,968.2105141394159201117530039,0.01060169,2.13472025911470169107,742985.2488595,149604984.0132802373107258785,0.082733796946414,0.0574594372561382,0.0756419611671546
2017-08-19,63921,572,54780433,95769.9877622378,1.34190108,461172854.6363931436396452518,343671273.7819313,4368235.29497598,0.000658572335248395,0.1520052154128196407970715332,0.0001,0.0230810204554808,3.89743108,899.56686481306626263264,7150,130.614134219117,1650292.9625668772,7150,1650292.9625668772,13.78916121,50.874989790281006,0.0554297236930626,230.810204554808,,10.399844294049029,1998060.94156848,5918,161128,144900.83267674,33444590.83028036663067676592,10.8108872646217,2495.263100966303301337036134,0.010668455,2.46238828083376418164,1741936.64317397,402056752.9324996083159439478,0.0832003871945374,0.0625082122284907,0.0773375856739153
2017-08-20,56637,581,17731247,30518.4974182444,1.39662462,483295747.5371766122772285562,346045559.8329979,4501614.79357477,0.000503010596765198,0.1212287640704049155549856938,0.0001,0.0241006382072292,2.705694,652.089521934708030648,7262.5,132.188775389104,1750308.84980002065,7262.5,1750308.84980002065,29.75780772,51.07244516108499,0.0589476323835193,241.006382072292,,19.203306810716327,2005323.44156848,5379,153691,67388.1443408,16240972.8621416067162851136,5.74561498194331,1384.729879578514470479065767,0.010626365,2.56102178322963117858,883049.31218985,212820519.9223016464995286362,0.0827986403555749,0.0612683176643794,0.0776226809779556
2017-08-21,56853,567,33491373,59067.6772486772,1.36808002,476922679.8432159649317686904,348607298.7211669,4901276.54747513,0.000355266658172552,0.08419489438004111334668771796,0.0001,0.0236990701050105,1.95183502,462.5667497239457136771,7087.5,128.549166900461,1679671.5936926191875,7087.5,1679671.5936926191875,31.16601558,51.12558343522592,0.0593718843485079,236.990701050105,,8.166341447264728,2012410.94156848,5494,158476,64570.6839303,15302651.6519265462586276815,2.06340216839887,489.0071264371550145554953814,0.010815185,2.563098275136579844425,326999.72203918,77495893.3692547387379531139,0.0825119047622782,0.0610209568647557,0.0776311202156943
2017-08-22,60907,573,37981083,66284.612565445,1.3120233,459989392.2863313291366273354,350595444.75596845,4507871.71605338,0.000430077316917852,0.09795682572035377094517869186,0.0001,0.0227765617639082,2.02609424,461.47460596858643908768,7162.5,129.44874626444,1631371.236339924825,7162.5,1631371.236339924825,19.91623187,50.42279946014382,0.0559678670683196,227.765617639082,,7.332444804251269,2019573.44156848,4711,156673,101403.39068749,23096205.91063329575867248418,3.06203090536091,697.4253603894851088913310846,0.01073256,2.44450815724850590992,479737.56803561,109267723.48830183407670371,0.0825976684436641,0.0614954759001041,0.0772651841853443
2017-08-23,53404,568,20413979,35940.1038732394,1.30835274,460989107.9329354072488058646,352343137.06832314,4659548.9667424,0.00058725296886675,0.1335771302353170005171290515,0.0001,0.0227460970513418,2.35782067,536.31217789479747275006,7100,127.869638336721,1614972.8906452678,7100,1614972.8906452678,27.50125721,50.17719602336229,0.0549405263333529,227.460970513418,,8.442811234087694,2026673.44156848,4015,145939,73693.84700983,16762473.96172327887919289894,2.23470221755672,508.307535213938904351936069,0.01085969,2.47015562687486032042,326130.20692801,74181893.38158699335026503818,0.0825211493765021,0.057138523535007,0.0761462971606454
