date,AdrActCnt,BlkCnt,IssContNtv,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-03-17,100791,28602,1376064,31529.7171784664908992,1376064,31529.7171784664908992,0.00000574676857348277,0.0229129729274703,,-2.489216291852006,1916712,97835,836128985.952075,19158200.81899308925656678587,10492.4071297727,240.4122405084782298368250008,1.769885,0.0405533270897357719155,1026524651.541315,23520731.55014703396059888544,0.0540660853283937,0.0242831781166701,0.0308338773751183
2019-03-18,123559,28501,1372832,31134.8457513156558464,1372832,31134.8457513156558464,0.00000570836402557929,0.0226792832271652,,-3.3632394216935797,2276899,142467,1175345397.00972,26655991.14852836581155244574,12038.8833773386,273.0332458534732464135985367,20,0.453585664543304,1715143598.119305,38898227.43700692435380654419,0.0537132873849651,0.0242676357804644,0.0306055331842178
2019-03-19,111640,28530,1373760,31232.93806737750528,1373760,31232.93806737750528,0.00000566381236869885,0.022735367216528,,-3.995107909215978,2308755,154461,817508995.405744,18586367.21336449150526293683,6153.62760216088,139.9049832488902772836510246,2.86826,0.06521094437247860128,950495473.057371,21609863.61760682553032342789,0.0525221525992472,0.0222299676920571,0.0306008979647583
2019-03-20,110787,28550,1374400,31260.77115208834,1374400,31260.77115208834,0.0000056430108357934,0.0227450313970375,,-8.586062284037716,2097066,123283,543090766.021488,12352616.5245998912403845418,5602.69746084945,127.4335296551230196949635044,4,0.09098012558815,690717351.065903,15710387.83647253705182146236,0.052251485478433,0.0222156890596561,0.0302831639164213
2019-03-21,115848,28353,1368096,30269.2414891059981984,1368096,30269.2414891059981984,0.00000556427618216867,0.0221250858778229,,-11.288993558191203,2450625,168553,670831551.903629,14842205.6954210017370091293,4890.95141990445,108.2127201896458073078920219,1,0.0221250858778229,824384534.679155,18239578.62612537505038141165,0.0522513684041647,0.0226325737021205,0.0289035320344498
2019-03-22,129674,28515,1373280,30916.167909564714,1373280,30916.167909564714,0.00000565092417976492,0.0225126470272375,,-10.030553072049276,2304975,153577,532802758.036074,11994800.42680476234988556558,4300.84900868736,96.823495650022843916041968,1,0.0225126470272375,660511488.207179,14869861.99144356535285603801,0.0519360015267513,0.0228579977758844,0.0285418212913109
2019-03-23,118475,28611,1376352,33185.3997163158968256,1376352,33185.3997163158968256,0.00000605537030270905,0.0241111283423978,,-2.076152496346549,1802276,134252,942594709.512711,22727022.01592614737679931844,9420.22642654557,227.1322883848876400540247677,1.36826,0.032990292465769213828,1264684238.216596,30492963.98024793874032639389,0.0521153900631631,0.0262208915902352,0.0300115242961832
2019-03-24,111065,28655,1377760,31861.949557208433136,1377760,31861.949557208433136,0.00000582418697366648,0.0231259069483861,,-7.71539935490108,1494283,116972,1260783810.36847,29156769.08061290344231282627,12312.6146964149,284.7403817606221471350109929,1.36826,0.031642253441198765186,1440231166.26904,33306651.93530340862658639634,0.0522062771156603,0.0271482342644138,0.030374934635085
2019-03-25,123146,28675,1378400,30942.1783982122972,1378400,30942.1783982122972,0.00000574373672538653,0.0224478949493705,,-11.3938008096825,1634633,206440,770984114.777644,17306970.4161619606202452731,4474.4857540988,100.4427861604647055388548054,1,0.0224478949493705,923712839.076156,20735408.7749663277056137598,0.0520024160972357,0.024765676936413,0.0305686885176494
2019-03-26,120187,26322,1303104,28966.12316266699008,1303104,28966.12316266699008,0.00000567378781285826,0.02222855824452,,-6.146389726809583,4278364,114315,640494950.784448,14237279.31883307323179722496,6944.16440679463,154.3587629759571077929629276,3.45,0.076688525943594,793822154.162728,17645521.98959653392209425056,0.0519700923129647,0.0245934040571368,0.0287935444715969
2019-03-27,147747,28264,1365248,31802.499201476206464,1365248,31802.499201476206464,0.00000578451854669903,0.0232943019887055,,-3.1012606714111333,3066517,131187,687516785.07657,16015223.61387755637509268014,6625.16423880941,154.3285765035985994865871188,1.8821,0.04384220577294262155,869135420.99669,20245902.9657775878479328848,0.0520868515204676,0.0262589712859103,0.029437724203761
