date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-08-02,272,360,188750,524.30555556,,104.027565083278,0.112179148148148,,0.1,,21.201859,,9000000,36.7698498424549,,9000000,,501.10934649,207.7674176279092,,,,,8933949999.99999902,189,351,17828344.377311,,54026.67449943,,5223.663282,,18963362.749299,,,,
2015-08-03,253,193,115955,600.80310881,,115.677528680881,0.146737012578616,,0.1,,23.331185,,4825000,19.7020844578815,,4825000,,497.66831083,211.57310963713815,,,,,8938774999.99999902,159,298,17961310.385708,,70957.80920991,,4204.464779,,21145427.144552,,,,
2015-08-04,483,207,192705,930.94202899,,123.615557814976,0.128805482889734,,0.1,,33.875842,,5175000,21.1190245920427,,5175000,,24.10840605,196.0145705361706,,,,,8943949999.99999902,263,497,370988856.878879,,802081.43429489,,7963.562295,,398634472.844558,,,,
2015-08-05,350,201,172917,860.28358209,,114.946127782239,0.132987816901408,,0.1,,28.326405,,5025000,20.4953639942005,,5025000,,69.50693641,191.83083090450177,,,,,8948974999.99999902,213,534,128749380.461164,,246771.00940807,,3148.125574,,131775719.023912,,,,
2015-08-06,343,226,161768,715.78761062,,115.778339938717,0.151402266055046,,0.1,,33.005694,,5650000,23.0299984644807,,5650000,,45.25828575,183.86403927294512,,,,,8954624999.99999902,218,370,197856035.690794,,741563.30439225,,13436.164877,,274378422.625132,,,,
2015-08-07,307,113,102361,905.84955752,,148.438841171593,0.116141201183432,,0.1,,19.627863,,2825000,11.5113676325293,,2825000,,66.86248383,181.6467819669349,,,,,8957449999.99999902,169,281,133968250.752619,,528526.53650954,,9558.219063,,148515956.759182,,,,
2015-08-08,234,122,126796,1039.31147541,,123.185292907705,0.197701068027211,,0.1,,29.062057,,3050000,12.4239718765694,,3050000,,623.80591595,181.62567805980288,,,,,8960499999.99999902,147,227,14364243.382188,,63583.33883486,,6137.03101,,14433417.915513,,,,
2015-08-09,389,329,218887,665.3100304,,121.717373172736,0.15026779338843,,0.1,,36.364806,,8225000,33.4732640369729,,8225000,,181.69263508,180.3506017518547,,,,,8968724999.99999902,242,391,49362072.359504,,148302.15478233,,6427.442277,,57986142.51989,,,,
2015-08-10,331,427,227626,533.08196721,,127.198925722178,0.110624665354331,,0.1,,28.098665,,10675000,43.3923758825757,,10675000,,174.04630071,179.94977868291542,,,,,8979399999.99999902,254,412,51592018.693713,,136235.20253892,,19100,,56128903.446034,,,,
2015-08-11,355,423,226774,536.10874704,,122.009106007329,0.10847435,,0.1,,28.203331,,10575000,42.9353251816607,,10575000,,356.72863663,183.00510156715674,,,,,8989974999.99999902,260,432,25201158.743063,,66640.92380969,,10426.528419,,28788879.085785,,,,
