date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-01-07,93,66392154.65844499231117973735,0,0,613.83016731,414.6606621339915,0.0000118104876810656,0.0475903478116143,-95.8504173104456,31.3692464303408,1395076054.5238578922746031,134,138,2272739.47881681,108160.4622820789985153400764,20221.3166790565,962.339493965096249156265908,10000,475.903478116143,2790541.701709799999858024,132802.8501671834251478514429,0.0701774556308019,0.062389727284119,0.0751831872354863
2019-01-08,66,61158367.76141542474169363083,0,0,672.51455056,412.7749221555674,0.000010888231029631,0.043838733783076,-96.98992221132264,19.113150488883555,1395076054.5238578922746031,103,103,2074417.65144326,90939.84317653481661116226776,25154.5682182341,1102.744419547389103457186092,12486,547.370430015486936,2590920.526478117190078706,113582.6752133812920309487381,0.0703682138792844,0.0643821797508545,0.075696176254243
2019-01-09,75,62015897.79326384113140838304,0,0,643.67030284,417.8463744058457,0.0000110650625437043,0.044453417139634,-97.80994205853328,23.732323161632678,1395076054.5238578922746031,136,140,2167376.75851744,96347.30314512354839130421696,24047.4456227057,1068.991131408802172457787714,14979.4,665.8855167014335396,3366642.387178800000000023,149658.7583972323930509255816,0.0703707709936809,0.0643849342141131,0.0757075398430506
2019-01-10,78,54262320.50329442434878027957,0,0,475.52925678,415.8751707079411,0.0000107096574277453,0.0388956002271964,-97.6571405314057,8.15263174524154,1395076054.5238578922746031,109,109,2933733.38155777,114109.320782252061661751736,30271.6370380916,1177.43349245640259412107439,9979.6,388.16253202732919344,3299608.437151979999955286,128340.250677747711616816931,0.0708667730195992,0.0695017703611961,0.0773022272840682
2019-01-11,99,56651594.39284183878751377558,0,0,1085.44933014,421.2789649653428,0.0000111312464658802,0.0406082479941763,-97.12065755056702,12.6906523399965,1395076054.5238578922746031,112,112,1285252.12166204,52191.83689149336972499677765,14522.1096045717,589.7174282210571176774557907,1137.6631,46.19850529862339140453,1626476.275712035123106762,66048.35196075858897696574283,0.0705302911442023,0.0695042431817415,0.0774894444425458
2019-01-12,51,55882200.15527664505604287845,0,0,733.5829239,420.768476293127,0.0000110420575268077,0.0400567409741323,-97.23844478385874,15.12034845214932,1395076054.5238578922746031,54,54,1901729.183,76177.0732863792430129109,44674.0852481485,1789.498261041389359064969047,6999,280.3571300779519677,2412400.60340002,96632.90609623506544624930265,0.070273856025877,0.0690138253844738,0.0745897504494403
2019-01-13,59,53499181.74913669963375346599,0,0,1674.59359911,428.96364944433395,0.0000108792888172735,0.0383485771801854,-96.87545746698405,14.933445744224796,1395076054.5238578922746031,54,54,833083.35542569,31947.56135306989837385012293,26095.8068207663,1000.737061945365044877604072,8050.2,308.71371601592850708,1409173.56832138,54039.80134504970475367518385,0.0702976392272481,0.069319240887611,0.0744727725112698
2019-01-14,49,57127878.55294163872183132403,0,0,1582.63409419,429.10236306391664,0.0000111582451437775,0.0409496517180488,-96.90061834827975,26.433066219615114,1395076054.5238578922746031,47,47,881489.95376819,36096.70659976631891699430767,23232.322533856,951.3555163627802009042601728,8773,359.2512945224421224,1091919.15909123000058982,44713.7092690505875673497156,0.0704942347625908,0.0701359633729545,0.0750629295554898
2019-01-15,110,57291117.89976802431239761092,0,0,158.69077938,418.01077145402996,0.000011433932986945,0.0410666627916007,-96.35174387297353,23.798644605235676,1395076054.5238578922746031,187,189,8791160.14148151,361023.6090771818722284823531,64782.470880595,2660.399886460086520698618416,13738.687,564.2020262283482462809,12243886.996432458673089735,502815.5785409565032535764313,0.0702763705181914,0.065826759384533,0.075025081077652
2019-01-16,164,67800768.43244512775733760377,0,0,106.96275564,401.6577809568125,0.0000134366077234396,0.0486000517409681,-94.24814672373036,28.248139423511997,1395076054.5238578922746031,415,415,13042633.8225314,633872.6786135265915782286483,44267.3588025959,2151.395928242160416368659091,14990,728.514775597111819,18370953.903077317422935075,892829.3102204974924486172587,0.0714802920535436,0.0712500663493354,0.0784851568916668
2019-01-17,418,79427923.54850478458363024179,0,0,47.08985504,367.0836171672552,0.0000155058250304879,0.0569344755728129,-93.74811824540745,38.33017699638972,1395076054.5238578922746031,937,940,29625830.3051326,1686731.111831872158375889491,40249.5663339302,2291.58795125546143912592626,14990,853.447788836465371,37834592.353894375441840914,2154092.674180133037786168963,0.0725491029882491,0.0764719692275922,0.0725792536647013
2019-01-18,279,87667409.18146422492706977635,0,0,55.90474645,344.1826258820417,0.0000173669236816364,0.0628405948888466,-93.09527345807412,55.54740655602453,1395076054.5238578922746031,796,795,24954518.9452543,1568156.81568477301217907069,43506.4595409988,2733.971799063900586341543984,13650,857.77412023275609,34587635.335094028708720497,2173507.58025579987954723711,0.07298151175544,0.0776011331572039,0.0708149002019682
2019-01-19,265,95264604.13700291941193474216,0,0,85.93010043,331.5069910478695,0.0000184592033898305,0.0682863158808334,-93.9567145061897,58.68647520144924,1395076054.5238578922746031,762,762,16235010.1707791,1108629.032850364625778435302,28897.6327121294,1973.312875588772602937160642,12595.93301976,860.129861001151092367467984,22019996.126642577995041556,1503664.411198643029598888691,0.0731102013810331,0.0784301144805289,0.0710720938967234
2019-01-20,196,92481536.47922936423705387367,0,0,135.39036964,324.41357879981814,0.0000187141324195063,0.0662913940636688,-95.26746432730187,56.776389269451144,1395076054.5238578922746031,500,500,10304101.0834889,683073.2253974393155910380763,31235.6992048233,2070.658044841167566212253723,11087,734.9726859838959856,15617849.60241167518205331,1035329.022420585452459546167,0.0731283137809194,0.0787071992594454,0.0711820714108254
2019-01-21,297,95373707.10367215831029555351,0,0,21.68714696,279.53758540271235,0.0000193048395225903,0.0683645216290544,-93.63653096590558,54.79395637454246,1395076054.5238578922746031,601,601,64327320.5729582,4397706.498649116942652076726,148179.931017338,10130.25009902659266325094519,12421.3,849.17623251097341872,89056138.541419886604168974,6088280.309514965004058090426,0.073117710106856,0.0787270685137979,0.0711289883424906
2019-01-22,1234,143978732.4481249929162147649,0,0,5.55011948,179.4045763659801,0.0000288213583545246,0.103204934226518,-89.49191155498902,127.24395724212873,1395076054.5238578922746031,3248,3236,251359643.569807,25941555.48182293956988354203,86445.3295537689,8921.58455078639193561322369,18801.908,1940.449678473042596344,279737086.435996168600572418,28870247.60634476514998392888,0.0795513318378729,0.10790661492686,0.0872475816970722
2019-01-23,400,118271072.693527988823276229,0,0,24.26908289,165.9677054983985,0.000023819316572916,0.08477750894656,-91.59396933367,77.86509166434793,1395076054.5238578922746031,1075,1079,57483674.2247364,4873322.705868730623057686784,57564.1026121851,4880.141224205220181320728256,13621.7,1154.813793617356352,62111666.718547743010884032,5265672.380917434280595716734,0.080750892579436,0.111558184884056,0.0915098059532645
2019-01-24,182,112712722.9473990160860883308,0,0,66.34072239,162.43305183595217,0.0000225820211315137,0.0807932460613182,-92.43742731650674,94.71452652069236,1395076054.5238578922746031,439,444,21028954.8306183,1698997.522042490302096619043,57343.3835204222,4632.958094754009887843152544,15469.337,1249.8179506464539000334,25460462.283067459577982273,2057033.394070780614644565066,0.0808096560278412,0.112374396825388,0.0917761052921022
2019-01-25,182,106916241.1565347738556659603,0,0,62.68539989,158.24144688340812,0.0000214938883188955,0.0766382885075219,-92.8436882010557,80.88877448459051,1395076054.5238578922746031,393,393,22255199.0898399,1705600.368639489057045016744,65158.3341861803,4993.623214030013018331579599,16406,1257.3277612544042914,25607225.335168857089895834,1962493.923113795054119313987,0.0807686119588355,0.109466076668694,0.092022718005275
2019-01-26,110,101154698.9106077512006685985,0,0,315.73689911,157.58021210718258,0.00002026112731841,0.0725083758570654,-93.30946356222572,95.09473757665504,1395076054.5238578922746031,228,228,4418476.45452582,320376.5514803518936312537286,22549.4244340335,1635.022142223395252887195291,11109,805.4955473961395286,5141268.770959639999982146,372785.0484269342626737376759,0.0806103858575312,0.108134579435995,0.0912816182908788
2019-01-27,133,94205729.24980482943182720564,0,0,121.22279523,155.51783396726458,0.0000190474221747279,0.0675273071631621,-94.01311625777045,57.944796665945915,1395076054.5238578922746031,313,314,11508364.0160875,777128.8318598223917917702838,42365.5025443176,2860.828303431860043389402683,12078.2,815.60832137810447622,13302767.798915732472070642,898300.0872776044636548518012,0.0806477065498012,0.109206454055954,0.0918152665925538
2019-01-28,146,82538980.22730746692924586695,0,0,45.39886289,150.17227208156672,0.0000171821442853571,0.0591645021500123,-94.45385053555906,41.01481044555804,1395076054.5238578922746031,380,380,30729317.1161264,1818084.748585470163072288355,85369.0364887412,5050.816542882607217342391517,17753.6785,1050.38754978387714524555,32440233.865721659302184619,1919310.286295390937962217767,0.0808178364585472,0.112396396726377,0.0924362437726045
2019-01-29,151,82691734.90381831394251475493,0,0,42.00662922,144.99964071503368,0.0000174041737648283,0.0592739977406043,-94.20285817866977,45.19445173627327,1395076054.5238578922746031,385,385,33210854.5855013,1968540.119664542012393080436,88533.5089574641,5247.735009912497618994129556,18214.332,1079.6362738146166008276,34085400.948623691540399261,2020377.978816312356269336212,0.0802579380975929,0.112077795126016,0.0921514970821848
2019-01-30,136,82632100.62011901650749143915,0,0,71.1752508,142.2196837397212,0.0000170979834107855,0.0592312514806381,-93.88667527495751,49.93081760496973,1395076054.5238578922746031,263,263,19600577.9941658,1160966.764338295601433461197,77418.2007977066,4585.576920627496785784784581,11754.8996,696.25741433725220943476,20360986.809796846043676402,1206006.730125032261407171398,0.0802105597876341,0.111602037712196,0.0920696274978489
2019-01-31,115,76138994.3824414007601855871,0,0,265.43484805,141.87683773850335,0.000015982775838106,0.0545769487875181,-94.04449824318093,28.935831864463935,1395076054.5238578922746031,184,184,5255813.48779598,286846.2635601880869325033572,32202.0408649495,1757.489135139913922213386836,12155.5,663.41010098667626455,5925175.519150707000299991,323378.0008657441071266869837,0.0803174135117954,0.112943436537157,0.0923014914493963
2019-02-01,99,79902540.22886629454486828795,0,0,169.17272624,140.61460040119118,0.0000165042937916209,0.057274684035873,-92.95888192385694,33.93048683071358,1395076054.5238578922746031,218,218,8246459.61277622,472313.3687363456089036013401,43381.7276446812,2484.674743779412726538448688,18367.861,1052.013435189834277653,9457216.62654049999947337,541659.0941439118827157247896,0.0803344756267657,0.11282487276625,0.0924565868191616
2019-02-02,133,79247289.61331452891353067073,0,0,45.9833033,136.10698917161523,0.000016193921260902,0.0568049959400685,-92.57406979860652,37.87280343089222,1395076054.5238578922746031,198,198,30338752.4271325,1723392.708450005012883308576,157998.057625955,8975.079021981082680570077918,7006.5,398.00420405408994525,31283615.409939021010973806,1777065.646352250451831522568,0.0802096195296111,0.112878445393762,0.0923487025076295
2019-02-03,69,78145605.32403551190497665048,0,0,219.97045044,135.45540714110768,0.0000162572963544879,0.0560153011519553,-93.02152084827817,35.264734705692774,1395076054.5238578922746031,149,149,6342106.64085761,355255.0134254546395341203848,48567.2381084003,2720.508468760762669923700107,19988.3,1119.65064401562812299,7236518.478151643146839175,405355.7618453535508178599661,0.0790396801400343,0.112667830221706,0.0903840931910098
2019-02-04,64,75943723.35044224290435043588,0,0,403.28012246,135.03949647229112,0.0000159263360435959,0.054436977184274,-91.9987639213167,24.6360320327078,1395076054.5238578922746031,111,111,3459322.63167599,188315.0671735885577116913813,43888.5283049186,2389.158813986217479932770096,14757,803.326472308331418,4871626.641845962956853732,265196.6283524700508246215792,0.0788610539907356,0.112827280532058,0.0893506898884702
2019-02-05,69,74619412.64252089172364438156,0,0,341.93488335,134.66223126221217,0.0000155886605087524,0.0534877022658013,-89.66385196881174,19.420931358229826,1395076054.5238578922746031,105,104,4079946.57015049,218226.9674045866065505214376,42646.1828860514,2281.046332982028091033013987,9259.281009875,495.2576658515819867400878375,4435203.020149348772690446,237228.8186301310911673554118,0.0784311374857161,0.112426330738483,0.089377713805545
